Date/Time	Green Algae	Bluegreen	Diatoms	Cryptophyta	#5	#6	#7	Yellow substances	Total conc.	Transmission	Depth	Temp. Sample	Green Algae	Bluegreen	Diatoms	Cryptophyta	#5	#6	#7	Yellow substances	Total cell count	Trans. 700 nm	LED 3 [525 nm]	LED 4 [570 nm]	LED 5 [610 nm]	LED 6 [370 nm]	LED 7 [590 nm]	LED 8 [470 nm]	Pressure	Temp. LEDs	Temp. Sensor
date	µg/l	µg/l	µg/l	µg/l	µg/l	µg/l	µg/l	r.u.	µg/l	%	m	°C	cells/ml	cells/ml	cells/ml	cells/ml	cells/ml	cells/ml	cells/ml	r.u.	cells/ml	digits	digits	digits	digits	digits	digits	digits	bar	°C	°C
6/13/2023 11:46:59	0.79	3.21	0.00	0.29	0.00	0.00	0.00	0.00	4.29	100.00	0.00	20.14	421	3215	0	9	0	0	0	0	3644	254.82	-0.65	11.89	13.88	-1.46	8.12	5.41	0.96	21.49	21.41
6/13/2023 11:47:02	0.00	3.53	0.00	0.00	0.00	0.00	0.00	0.00	3.53	97.47	0.00	20.16	0	3534	0	0	0	0	0	0	3534	247.20	1.98	-4.64	11.40	-8.54	14.79	0.75	0.96	21.56	21.41
6/13/2023 11:47:05	0.00	3.20	0.00	0.00	0.00	0.00	0.00	1.30	3.20	95.56	0.01	20.19	0	3202	0	0	0	0	0	0	3202	242.37	0.53	6.10	10.94	20.82	11.23	1.24	0.96	21.63	21.45
6/13/2023 11:47:08	0.00	2.50	0.00	0.00	0.00	0.00	0.00	0.43	2.50	100.00	0.00	20.22	0	2495	0	0	0	0	0	0	2495	255.40	-0.84	0.53	10.01	6.63	8.55	2.18	0.96	21.75	21.59
6/13/2023 11:47:11	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	99.75	-0.01	20.22	0	0	0	0	0	0	0	0	0	252.98	6.94	2.27	-1.48	-4.88	6.09	-8.51	0.96	21.76	21.48
6/13/2023 11:47:14	0.00	3.10	0.00	0.00	0.00	0.00	0.00	0.00	3.10	100.00	-0.01	20.25	0	3105	0	0	0	0	0	0	3105	256.67	2.38	9.03	14.22	-10.03	6.60	-2.47	0.96	21.82	21.53
6/13/2023 11:47:17	0.00	4.98	0.90	0.00	0.00	0.00	0.00	0.00	5.87	95.48	-0.00	20.26	0	4977	403	0	0	0	0	0	5380	242.14	9.13	5.96	20.43	-1.50	8.79	2.71	0.96	21.89	21.54
6/13/2023 11:47:20	2.76	0.16	0.00	0.00	0.00	0.00	0.00	0.00	2.93	98.58	-0.00	20.28	1464	164	0	0	0	0	0	0	1628	250.02	-1.41	0.23	4.44	0.45	5.59	7.51	0.96	21.94	21.50
6/13/2023 11:47:23	0.20	3.03	0.00	0.00	0.00	0.00	0.00	0.22	3.23	99.35	0.01	20.28	105	3035	0	0	0	0	0	0	3140	251.97	-7.61	1.92	15.77	5.71	5.38	1.80	0.96	21.97	21.54
6/13/2023 11:47:26	0.00	1.63	0.00	0.00	0.00	0.00	0.00	0.03	1.63	96.65	-0.00	20.29	0	1628	0	0	0	0	0	0	1628	245.12	7.59	-9.55	8.36	1.99	4.91	-5.04	0.96	22.03	21.59
6/13/2023 11:47:29	0.00	5.06	1.88	0.00	0.00	0.00	0.00	0.00	6.94	97.03	0.00	20.29	0	5060	845	0	0	0	0	0	5905	246.09	10.98	12.95	21.53	6.00	6.63	1.31	0.96	22.10	21.62
6/13/2023 11:47:32	0.00	1.58	0.00	0.00	0.00	0.00	0.00	0.32	1.58	95.76	0.00	20.28	0	1583	0	0	0	0	0	0	1583	242.87	1.25	1.12	6.89	5.88	6.21	-1.87	0.96	22.13	21.59
6/13/2023 11:47:35	2.65	0.55	0.00	0.00	0.00	0.00	0.00	0.00	3.20	96.47	0.00	20.30	1406	546	0	0	0	0	0	0	1952	244.65	-5.08	6.98	6.76	3.24	3.68	5.97	0.96	22.18	21.62
6/13/2023 11:47:38	0.71	1.22	0.00	1.00	0.00	0.00	0.00	0.00	2.92	100.00	0.00	20.32	377	1216	0	30	0	0	0	0	1623	254.11	-2.21	7.02	4.21	3.10	11.95	3.59	0.96	22.21	21.62
6/13/2023 11:47:41	0.00	2.76	0.00	1.02	0.00	0.00	0.00	0.00	3.78	99.79	0.03	20.31	0	2758	0	31	0	0	0	0	2789	253.07	-2.03	1.48	8.00	-4.85	18.09	7.58	0.96	22.26	21.62
6/13/2023 11:47:44	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	97.53	-0.00	20.35	0	0	0	0	0	0	0	0	0	247.34	-3.52	-11.12	-3.39	-13.96	11.27	6.00	0.96	22.30	21.69
6/13/2023 11:47:47	1.13	0.94	0.00	0.00	0.00	0.00	0.00	0.00	2.07	97.90	-0.00	20.33	597	941	0	0	0	0	0	0	1537	248.29	-6.97	2.64	5.10	-12.23	10.30	12.37	0.96	22.36	21.66
6/13/2023 11:47:50	0.00	0.00	0.00	0.01	0.00	0.00	0.00	0.00	0.01	97.39	-0.00	20.36	0	0	0	0	0	0	0	0	0	247.00	2.40	13.71	-0.30	-10.46	6.25	-2.66	0.96	22.39	21.70
6/13/2023 11:47:53	2.75	4.28	0.00	0.00	0.00	0.00	0.00	0.00	7.03	99.75	-0.00	20.35	1457	4283	0	0	0	0	0	0	5740	252.99	-0.18	-0.74	14.57	2.27	16.63	8.16	0.96	22.41	21.67
