"TOA5","OwascoMetInternet","CR1000","60228","CR1000.Std.26","CPU:Owasco_MET.cr1","22473","TRB_Avg"
"TIMESTAMP","RECORD","AirTempC_Avg","RHumidity_Avg","P_mb_Avg","SolarRad_Avg","Precip_mm_Max","Precip_mm_TMx"
"TS","RN","","","","","",""
"","","Avg","Avg","Avg","Avg","Max","TMx"
"2014-05-14 13:02:30",0,20.35,61.43,994.3152,1027,0,"2014-05-14 13:00:30"
"2014-05-14 13:17:30",1,21.04,59.66,994.288,583.8,0,"2014-05-14 13:15:30"
"2014-05-14 13:32:30",2,17.01,71.34,994.1818,410.6,0,"2014-05-14 13:30:30"
"2014-05-14 13:47:30",3,19.36,64.77,994.0875,650.2,0,"2014-05-14 13:45:30"
"2014-05-14 14:02:30",4,21.16,59.65,993.8267,802,0,"2014-05-14 14:00:30"
"2014-05-14 14:17:30",5,19.31,65.08,993.6384,976,0,"2014-05-14 14:15:30"
"2014-05-14 14:32:30",6,21.37,59.5,993.3494,825,0,"2014-05-14 14:30:30"
"2014-05-14 14:47:30",7,24.13,51.68,992.9526,755.7,0,"2014-05-14 14:45:30"
"2014-05-14 15:02:30",8,20.11,61.82,992.9445,731.1,0,"2014-05-14 15:00:30"
"2014-05-14 15:17:30",9,20.66,61.34,992.8299,686.1,0,"2014-05-14 15:15:30"
"2014-05-14 15:32:30",10,22.96,54.64,992.5623,654.4,0,"2014-05-14 15:30:30"
"2014-05-14 15:47:30",11,22.32,55.22,992.2558,597.8,0,"2014-05-14 15:45:30"
"2014-05-14 16:02:30",12,22.46,54.4,992.2087,575,0,"2014-05-14 16:00:30"
"2014-05-14 16:17:30",13,23.35,52.61,992.0219,536.6,0,"2014-05-14 16:15:30"
"2014-05-14 16:32:30",14,23.04,52.84,991.9849,503.7,0,"2014-05-14 16:30:30"
"2014-05-14 16:47:30",15,23.49,52.25,991.8962,458.5,0,"2014-05-14 16:45:30"
"2014-05-14 17:02:30",16,20.41,60.28,991.9899,112.6,0,"2014-05-14 17:00:30"
"2014-05-14 17:17:30",17,21.81,57.52,991.8131,372.8,0,"2014-05-14 17:15:30"
"2014-05-14 17:32:30",18,21.46,59.56,991.8054,337.8,0,"2014-05-14 17:30:30"
"2014-05-14 17:47:30",19,21.79,59.55,991.7676,81.7,0,"2014-05-14 17:45:30"
"2014-05-14 18:02:30",20,20.66,60.94,991.6761,71.92,0,"2014-05-14 18:00:30"
"2014-05-14 18:17:30",21,20.62,62.25,991.5637,44.65,0,"2014-05-14 18:15:30"
"2014-05-14 18:32:30",22,19.01,66.31,991.6902,32.44,0,"2014-05-14 18:30:30"
"2014-05-14 19:17:30",23,18.96,68.08,991.6972,40.91,0,"2014-05-14 19:15:30"
"2014-05-14 19:32:30",24,17.88,70.3,991.7496,33.41,0,"2014-05-14 19:30:30"
"2014-05-14 19:47:30",25,18.32,69.96,991.7339,28.98,0,"2014-05-14 19:45:30"
"2014-05-18 07:02:30",358,7.536,88.6,998.7202,17.67,0,"2014-05-18 07:00:30"
"2014-05-18 07:17:30",359,7.6,88.8,998.9264,12,0,"2014-05-18 07:15:30"
"2014-05-18 07:32:30",360,7.169,91.9,999.0032,13.41,0,"2014-05-18 07:30:30"
"2014-05-18 07:47:30",361,7.1,90.3,998.8712,38.45,0,"2014-05-18 07:45:30"
"2014-05-18 08:02:30",362,7.146,88.8,998.9681,65.53,0,"2014-05-18 08:00:30"
"2014-05-18 08:17:30",363,7.249,87.5,999.0652,113.6,0,"2014-05-18 08:15:30"
