"TOA5","OwascoMetDirect","CR1000","60228","CR1000.Std.26","CPU:Owasco_MET.cr1","333","TRB_Avg"
"TIMESTAMP","RECORD","AirTempC_Avg","RHumidity_Avg","P_mb_Avg","SolarRad_Avg","Precip_mm_Max","Precip_mm_TMx"
"TS","RN","","","","","",""
"","","Avg","Avg","Avg","Avg","Max","TMx"
"2020-11-04 13:35:30",61505,-32.77,"NAN",1003.747,0,0,"2020-11-04 13:30:30"
"2020-11-04 14:05:30",61506,-37.11,"NAN",1003.46,0,0,"2020-11-04 14:00:30"
"2020-11-04 14:35:30",61507,-44.59,"NAN",1003.486,0,0,"2020-11-04 14:30:30"
"2020-11-04 15:05:30",61508,-39.86,"NAN",1003.258,0,0,"2020-11-04 15:00:30"
"2020-11-04 15:35:30",61509,-33.39,"NAN",1003.237,0,0,"2020-11-04 15:30:30"
"2020-11-04 16:05:30",61510,-30.36,"NAN",1003.139,0,0,"2020-11-04 16:00:30"
"2020-11-04 16:35:30",61511,-26.86,"NAN",1003.198,0,0,"2020-11-04 16:30:30"
"2020-11-04 17:05:30",61512,-24,"NAN",1003.345,0,0,"2020-11-04 17:00:30"
"2020-11-04 17:35:30",61513,-22.7,"NAN",1003.423,0,0,"2020-11-04 17:30:30"
"2020-11-04 18:05:30",61514,-20.29,"NAN",1003.539,0,0,"2020-11-04 18:00:30"
"2020-11-04 18:35:30",61515,-18.9,"NAN",1003.742,0,0,"2020-11-04 18:30:30"
"2020-11-04 19:05:30",61516,-17.81,"NAN",1004.038,0,0,"2020-11-04 19:00:30"
"2020-11-04 19:35:30",61517,-17.62,"NAN",1004.174,0,0,"2020-11-04 19:30:30"
"2020-11-04 20:05:30",61518,-14.45,"NAN",1004.277,0.002,0,"2020-11-04 20:00:30"
"2020-11-04 20:35:30",61519,-13.62,"NAN",1004.413,0.007,0,"2020-11-04 20:30:30"
"2020-11-04 21:05:30",61520,-13.4,"NAN",1004.351,0.008,0,"2020-11-04 21:00:30"
"2020-11-04 21:35:30",61521,-12.91,89.9,1004.326,0.016,0,"2020-11-04 21:30:30"
"2020-11-04 22:05:30",61522,-12.67,88.7,1004.542,0.039,0,"2020-11-04 22:00:30"
"2020-11-04 22:35:30",61523,-12.6,88.2,1004.568,0.032,0,"2020-11-04 22:30:30"
"2020-11-04 23:05:30",61524,-12.44,86,1004.669,0.031,0,"2020-11-04 23:00:30"
"2020-11-04 23:35:30",61525,-12.29,84.3,1004.794,0.03,0,"2020-11-04 23:30:30"
"2020-11-05 00:05:30",61526,-12.57,83.4,1004.867,0.026,0,"2020-11-05 00:00:30"
"2020-11-05 00:35:30",61527,-12.82,82.2,1004.984,0.033,0,"2020-11-05 00:30:30"
"2020-11-05 01:05:30",61528,-13.33,79.98,1005.161,0.041,0,"2020-11-05 01:00:30"
"2020-11-05 01:35:30",61529,-13.79,79.64,1005.163,0.031,0,"2020-11-05 01:30:30"
"2020-11-05 02:05:30",61530,-14.01,78.31,1005.195,0.028,0,"2020-11-05 02:00:30"
"2020-11-05 02:35:30",61531,-14.21,76.67,1005.106,0.03,0,"2020-11-05 02:30:30"
"2020-11-05 03:05:30",61532,-14.44,74.97,1005.198,0.021,0,"2020-11-05 03:00:30"
"2020-11-05 03:35:30",61533,-14.61,76.51,1005.164,0.016,0,"2020-11-05 03:30:30"
"2020-11-05 04:05:30",61534,-15.03,83.2,1005.069,0.011,0,"2020-11-05 04:00:30"
"2020-11-05 04:35:30",61535,-14.97,73.62,1005.029,0.03,0,"2020-11-05 04:30:30"
