"TOA5","OwascoMetDirect","CR1000","60228","CR1000.Std.26","CPU:Owasco_MET.cr1","333","WindCorrected"
"TIMESTAMP","RECORD","W_DirCorr","W_SpdRaw_WVc"
"TS","RN","",""
"","","Smp","Smp"
"2020-11-04 13:35:31",61505,65.44,0
"2020-11-04 14:05:31",61506,65.44,0
"2020-11-04 14:35:31",61507,65.44,0
"2020-11-04 15:05:31",61508,65.44,0
"2020-11-04 15:35:31",61509,65.44,0
"2020-11-04 16:05:31",61510,65.44,0
"2020-11-04 16:35:31",61511,65.44,0
"2020-11-04 17:05:31",61512,65.44,0
"2020-11-04 17:35:31",61513,65.44,0
"2020-11-04 18:05:31",61514,65.44,0
"2020-11-04 18:35:31",61515,65.44,0
"2020-11-04 19:05:31",61516,65.44,0
"2020-11-04 19:35:31",61517,65.44,0
"2020-11-04 20:05:31",61518,65.44,0
"2020-11-04 20:35:31",61519,65.44,0
"2020-11-04 21:05:31",61520,65.44,0
"2020-11-04 21:35:31",61521,65.44,0
"2020-11-04 22:05:31",61522,65.44,0
"2020-11-04 22:35:31",61523,65.44,0
"2020-11-04 23:05:31",61524,65.44,0
"2020-11-04 23:35:31",61525,65.44,0
"2020-11-05 00:05:31",61526,65.44,0
"2020-11-05 00:35:31",61527,65.44,0
"2020-11-05 01:05:31",61528,65.44,0
"2020-11-05 01:35:31",61529,65.44,0
"2020-11-05 02:05:31",61530,65.44,0
"2020-11-05 02:35:31",61531,65.44,0
"2020-11-05 03:05:31",61532,65.44,0
"2020-11-05 03:35:31",61533,65.44,0
"2020-11-05 04:05:31",61534,65.44,0
"2020-11-05 04:35:31",61535,65.44,0
"2020-11-05 05:05:31",61536,65.44,0
"2020-11-05 05:35:31",61537,65.44,0
"2020-11-05 06:05:31",61538,65.44,0
"2020-11-05 06:35:31",61539,65.44,0
"2020-11-05 07:05:31",61540,65.44,0
"2020-11-05 07:35:31",61541,65.44,0
"2020-11-05 08:05:31",61542,65.44,0
"2020-11-05 08:35:31",61543,65.44,0
"2020-11-05 09:05:31",61544,65.44,0
"2020-11-05 09:35:31",61545,65.44,0
"2020-11-05 10:05:31",61546,65.44,0
"2020-11-05 10:35:31",61547,65.44,0
"2020-11-05 11:05:31",61548,65.44,0
"2020-11-05 11:35:31",61549,65.44,0
"2020-11-05 12:05:31",61550,65.44,0
"2020-11-05 12:35:31",61551,65.44,0
"2020-11-05 13:05:31",61552,65.44,0
"2020-11-05 13:35:31",61553,65.44,0
"2020-11-05 14:05:31",61554,65.44,0
"2020-11-05 14:35:31",61555,65.44,0
"2020-11-05 15:05:31",61556,65.44,0
"2020-11-05 15:35:31",61557,65.44,0
"2020-11-05 16:05:31",61558,65.44,0
