"TOA5","OwascoWinchInternet","CR1000","57852","CR1000.Std.26","CPU:Owasco.cr1","37634","DbgMoveSequence"
"TIMESTAMP","RECORD","DbgStr","DbgStr2"
"TS","RN","",""
"","","Smp","Smp"
"2014-06-18 15:58:04",0,"",""
"2014-06-18 16:00:15",1,"1; 1.32; 1.56; 1.81; 2.09; 2.34; 2.61; 2.86; 3.1; 3.38; 3.62; 3.9; 4.15; 4.42; 4.67; 4.94; 5.17; 5.45; 5.68; 5.94; 6.17; 6.4; 6.65; 6.88; 7.15; 7.37; 7.61; 7.88; 8.11; 8.37; 8.62; 8.88; 9.11; 9.36; 9.61; 9.84; 10.13; 10.35; 10.63; 10.86; 11.11; 11.38; 11.","[ (1)  Curr( 48.96) PrevDpt( 48.6) ]; "
"2014-06-18 16:00:15",2,"48.92; 48.75; 48.58; 48.4; 48.23; 48.04; (-1)47.9; (-1)47.63; (-1)47.55; ","[ (-1)  Curr( 47.55) PrevDpt( 47.63) ]; "
"2014-06-18 16:00:15",3,"47.51; 47.33; 47.15; 46.98; 46.8; 46.62; (-1)46.47; (-1)46.15; (-1)46.04; ","[ (-1)  Curr( 46.04) PrevDpt( 46.15) ]; "
"2014-06-18 16:00:15",4,"46.01; 45.82; 45.66; 45.48; 45.29; 45.12; (-1)44.97; (-1)44.65; (-1)44.53; ","[ (-1)  Curr( 44.53) PrevDpt( 44.65) ]; "
"2014-06-18 16:00:15",5,"44.52; 44.31; 44.14; 43.94; 43.75; 43.58; (-1)43.42; (-1)43.12; (-1)43.02; ","[ (-1)  Curr( 43.02) PrevDpt( 43.12) ]; "
"2014-06-18 16:00:15",6,"43; 42.79; 42.62; 42.42; 42.24; 42.07; (-1)41.9; (-1)41.61; (-1)41.52; ","[ (-1)  Curr( 41.52) PrevDpt( 41.61) ]; "
"2014-06-18 16:00:15",7,"41.5; 41.31; 41.13; 40.91; 40.73; 40.56; (-1)40.38; (-1)40.11; (-1)40.03; ","[ (-1)  Curr( 40.03) PrevDpt( 40.11) ]; "
"2014-06-18 16:00:15",8,"39.99; 39.79; 39.61; 39.44; 39.23; 39.06; (-1)38.91; (-1)38.59; ","[ (-1)  Curr( 38.59) PrevDpt( 38.91) ]; "
"2014-06-18 16:00:15",9,"38.57; 38.37; 38.19; ",""
