"TOA5","OwascoWinchInternet","CR1000","57852","CR1000.Std.26","CPU:Owasco.cr1","37634","SondeHourly"
"TIMESTAMP","RECORD","sensorParms(1)","sensorParms(2)","sensorParms(3)","sensorParms(4)","sensorParms(5)","sensorParms(6)","sensorParms(7)","sensorParms(8)","sensorParms(9)","sensorParms(10)"
"TS","RN","","","","","","","","","",""
"","","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp"
"2015-10-26 00:55:00",4499,5.58,45.4,319.29,1.01,1.42,65.65,8.25,1.11,6.3,10.12
"2015-10-26 01:55:00",4500,5.6,45.4,319.18,1.13,1.27,65.52,8.23,1.15,6.3,10.15
"2015-10-26 02:55:00",4501,5.55,45.4,319.39,1.16,1.41,65.01,8.18,1.15,6.3,10.16
"2015-10-26 03:55:00",4502,5.44,45.4,319.91,1.28,1.49,63.05,7.95,1.17,6.3,10.17
"2015-10-26 04:55:00",4503,5.43,45.4,320.14,1.38,1.47,63.52,8.02,1.16,6.3,10.15
"2015-10-26 05:55:00",4504,5.36,45.4,320.88,1.69,1.6,60.93,7.7,1.16,6.3,10.12
"2015-10-26 06:55:00",4505,5.46,45.41,320.1,1.63,1.69,62.64,7.9,1.19,6.3,10.15
"2015-10-26 07:55:00",4506,5.53,45.41,319.8,1.41,1.6,63.21,7.96,1.17,6.3,10.11
"2015-10-26 08:55:00",4507,5.41,45.42,321.22,1.71,1.53,59.28,7.48,1.16,6.3,10.94
"2015-10-26 09:55:00",4508,5.46,45.44,321.18,1.69,1.52,59.09,7.45,1.17,6.3,11.2
"2015-10-26 10:55:00",4509,5.42,45.46,321.41,1.96,1.7,58.62,7.4,1.19,6.3,11.29
"2015-10-26 11:55:00",4510,5.47,45.43,320.9,1.91,1.59,59.89,7.55,1.15,6.3,11.43
"2015-10-26 12:55:00",4511,5.6,45.45,320.12,1.51,1.73,61.74,7.76,1.18,6.3,11.45
"2015-10-26 13:55:00",4512,5.59,45.45,319.97,2.11,1.54,62.29,7.83,1.15,6.3,11.7
"2016-04-25 16:55:00",4513,4.69,13.69,314.18,-0.25,1.15,101.34,13.04,1.39,6.1,11.78
"2016-04-25 17:55:00",4514,4.74,13.69,314.27,-0.23,1.12,101.45,13.03,1.4,6.1,11.25
"2016-04-25 18:55:00",4515,4.93,13.68,313.47,-0.22,1.16,101.97,13.03,1.34,6.1,10.91
"2016-04-25 19:55:00",4516,4.21,45.48,314.41,-0.19,0.63,98.64,12.85,1.26,6.1,10.45
"2016-04-25 20:55:00",4517,4.22,45.47,314.35,-0.18,0.57,98.7,12.85,1.26,6.1,10.48
"2016-04-25 21:55:00",4518,4.22,45.47,314.35,-0.19,0.54,98.66,12.85,1.26,6.1,10.49
"2016-04-25 22:55:00",4519,4.21,45.46,314.35,-0.15,0.5,98.66,12.85,1.24,6.1,10.48
"2016-04-25 23:55:00",4520,4.22,45.46,314.44,-0.13,0.53,98.69,12.85,1.24,6.1,10.47
"2016-04-26 00:55:00",4521,4.2,45.46,314.44,-0.14,0.49,98.2,12.79,1.27,6.1,10.35
"2016-04-26 08:55:00",0,4.23,44.07,314.31,-0.19,0.44,98.42,12.81,1.26,6.1,10.3
"2016-04-26 09:55:00",1,4.25,44.08,314.33,-0.2,0.5,98.45,12.81,1.24,6.1,10.47
"2016-04-26 10:55:00",2,4.26,44.08,314.31,-0.14,0.54,98.52,12.81,1.22,6.11,10.49
