"TOA5","OwascoWinchInternet","CR1000","57852","CR1000.Std.26","CPU:Owasco.cr1","37634","SystemInternals"
"TIMESTAMP","RECORD","P_RH_Avg","P_Temp_Avg","P_Batt_Min","P_Batt_Max"
"TS","RN","","","",""
"","","Avg","Avg","Min","Max"
"2016-10-25 01:00:00",4360,48.57,10.81,12.32,12.43
"2016-10-25 02:00:00",4361,48.55,10.31,12.37,12.44
"2016-10-25 03:00:00",4362,48.62,9.93,12.36,12.43
"2016-10-25 04:00:00",4363,48.67,9.73,12.36,12.43
"2016-10-25 05:00:00",4364,48.62,9.71,12.35,12.43
"2016-10-25 06:00:00",4365,48.6,9.62,12.35,12.42
"2016-10-25 07:00:00",4366,48.67,9.42,12.35,12.41
"2016-10-25 08:00:00",4367,48.61,9.41,12.34,12.4
"2016-10-25 09:00:00",4368,48.62,9.37,12.35,12.45
"2017-04-12 17:00:00",4369,49.37,11.46,12.82,13.14
"2017-04-12 18:00:00",4370,49.05,11.68,12.9,14.37
"2017-04-12 19:00:00",4371,48.97,11.88,12.76,13.24
"2017-04-12 20:00:00",4372,49.35,11.52,12.67,12.79
"2017-04-12 21:00:00",4373,49.67,10.96,12.63,12.72
"2017-04-12 22:00:00",4374,49.8,10.66,12.59,12.68
"2017-04-12 23:00:00",4375,49.87,10.44,12.57,12.64
"2017-04-13 00:00:00",4376,50.11,9.9,12.56,12.66
"2017-04-13 01:00:00",4377,50.42,9.35,12.46,12.6
"2017-04-13 02:00:00",4378,50.55,8.66,12.54,12.6
"2017-04-13 03:00:00",4379,50.89,7.907,12.53,12.6
"2017-04-13 04:00:00",4380,51,7.498,12.52,12.59
"2017-04-13 05:00:00",4381,51.06,7.314,12.52,12.58
"2017-04-13 06:00:00",4382,51.12,7.132,12.51,12.58
"2017-04-13 07:00:00",4383,51.2,6.873,12.5,12.59
"2017-04-13 08:00:00",4384,51.29,6.62,12.56,13.09
"2017-04-13 09:00:00",4385,51.1,6.859,12.99,13.57
"2017-04-13 10:00:00",4386,50.72,7.742,13.46,14.39
"2017-04-13 11:00:00",4387,50.24,9.05,13.45,14.38
"2017-04-13 12:00:00",4388,49.64,10.77,13.45,14.38
"2017-04-13 13:00:00",4389,48.98,12.66,13.38,14.37
"2017-04-13 14:00:00",4390,48.42,14.42,13.43,14.37
"2017-04-13 15:00:00",4391,48.07,16.15,13.43,14.37
"2017-04-13 16:00:00",4392,48.7,16.59,13.45,14.37
"2017-04-13 17:00:00",4393,49.14,16.16,13.42,14.36
"2017-04-13 18:00:00",4394,49.31,15.91,13.44,14.37
"2017-04-13 19:00:00",4395,48.75,16.89,13.36,14.37
"2017-04-13 20:00:00",4396,48.47,17.94,12.95,14.36
"2017-04-13 21:00:00",4397,49.78,16.08,12.86,12.98
"2017-04-13 22:00:00",4398,51.39,12.19,12.84,12.92
"2017-04-13 23:00:00",4399,52.32,9.1,12.81,12.89
"2017-04-14 00:00:00",4400,52.6,7.235,12.79,12.89
"2017-04-14 01:00:00",4401,52.72,6.327,12.65,12.79
"2017-04-14 02:00:00",4402,52.38,5.758,12.75,12.81
"2017-04-14 03:00:00",4403,52.36,5.259,12.73,12.8
"2017-04-14 04:00:00",4404,52.32,4.907,12.71,12.77
"2017-04-14 05:00:00",4405,52.23,4.744,12.7,12.76
"2017-04-14 06:00:00",4406,52.09,4.754,12.69,12.75
"2017-04-14 07:00:00",4407,52.01,4.798,12.67,12.78
"2017-04-14 08:00:00",4408,51.86,5.041,12.73,13.71
"2017-04-14 09:00:00",4409,51.37,6.002,13.47,14.39
"2017-04-14 10:00:00",4410,50.67,7.649,13.44,14.39
"2017-04-14 11:00:00",4411,50.03,10.14,13.44,14.38
"2017-04-14 12:00:00",4412,49.63,12.44,13.44,14.38
"2017-04-14 13:00:00",4413,48.65,15.41,13.42,14.35
"2017-04-14 14:00:00",4414,47.61,18.88,13.41,14.35
"2017-04-14 15:00:00",4415,47.24,21.98,13.4,14.35
"2017-04-14 16:00:00",4416,46.86,24.88,13.4,14.34
"2017-04-14 17:00:00",4417,46.95,27.14,13.39,14.34
"2017-04-14 18:00:00",4418,47.31,28.13,13.39,14.35
"2017-04-14 19:00:00",4419,47.75,28.22,13.4,14.35
"2017-04-14 20:00:00",4420,48.57,27.03,12.97,14.34
"2017-04-14 21:00:00",4421,50.1,22.86,12.9,13.02
"2017-04-14 22:00:00",4422,51.84,17.5,12.88,12.95
"2017-04-14 23:00:00",4423,52.39,13.76,12.85,12.92
"2017-04-15 00:00:00",4424,52.48,11.12,12.82,12.92
"2017-04-15 01:00:00",4425,52.7,9.28,12.69,12.83
"2017-04-15 02:00:00",4426,52.41,8.1,12.77,12.84
"2017-04-15 03:00:00",4427,52.39,7.318,12.75,12.82
"2017-04-15 04:00:00",4428,52.11,7.309,12.74,12.8
"2017-04-15 05:00:00",4429,51.71,7.618,12.71,12.79
"2017-04-15 06:00:00",4430,51.33,7.901,12.71,12.78
"2017-04-15 07:00:00",4431,51.23,7.981,12.7,12.9
"2017-04-15 08:00:00",4432,50.96,8.34,12.87,13.54
"2017-04-15 09:00:00",4433,50.44,9.38,13.45,14.37
"2017-04-15 10:00:00",4434,49.76,11.11,13.43,14.37
"2017-04-15 11:00:00",4435,49.4,12.67,13.43,14.37
"2017-04-15 12:00:00",4436,49.27,13.77,13.43,14.36
"2017-04-15 13:00:00",4437,48.83,15.41,13.13,14.35
"2017-04-15 14:00:00",4438,48.72,16.65,13.26,13.76
"2017-04-15 15:00:00",4439,49.37,16.24,13.05,13.3
"2017-04-15 16:00:00",4440,49.73,15.42,13.05,13.24
"2017-04-15 17:00:00",4441,50.03,14.34,13.09,14.13
"2017-04-15 18:00:00",4442,50.21,13.51,13.44,14.38
"2017-04-15 19:00:00",4443,49.75,13.94,13.43,14.37
"2017-04-15 20:00:00",4444,49.61,14.42,12.95,14.37
"2017-04-15 21:00:00",4445,50.09,13.89,12.86,12.97
"2017-04-15 22:00:00",4446,50.29,13.2,12.85,12.92
"2017-04-15 23:00:00",4447,50.46,12.48,12.82,12.89
"2017-04-16 00:00:00",4448,50.44,12.29,12.8,12.9
"2017-04-16 01:00:00",4449,50.3,12.68,12.69,12.81
"2017-04-16 02:00:00",4450,50,12.95,12.76,12.82
