"TOA5","OwascoMetInternet","CR1000","60228","CR1000.Std.26","CPU:Owasco_MET.cr1","22473","TRB_Avg"
"TIMESTAMP","RECORD","AirTempC_Avg","RHumidity_Avg","P_mb_Avg","SolarRad_Avg","Precip_mm_Max","Precip_mm_TMx"
"TS","RN","","","","","",""
"","","Avg","Avg","Avg","Avg","Max","TMx"
"2017-11-03 07:35:30",33901,14.49,95.3,989.0956,0.007,0,"2017-11-03 07:30:30"
"2017-11-03 08:05:30",33902,14.79,93.5,989.3836,1.449,0,"2017-11-03 08:00:30"
"2017-11-03 08:35:30",33903,14.28,97.5,989.564,3.09,0,"2017-11-03 08:30:30"
"2017-11-03 09:05:30",33904,13.37,96.9,990.3906,3.958,0,"2017-11-03 09:00:30"
"2017-11-03 09:35:30",33905,12.1,98.8,991.2103,14.99,0,"2017-11-03 09:30:30"
"2017-11-03 10:05:30",33906,11.33,98.3,991.7467,25.02,0,"2017-11-03 10:00:30"
"2017-11-03 10:35:30",33907,11.13,99.9,992.2804,43.17,0,"2017-11-03 10:30:30"
"2017-11-03 11:05:30",33908,10.92,95.7,992.6144,49,0,"2017-11-03 11:00:30"
"2017-11-03 11:35:30",33909,10.68,94.1,993.0483,38.01,0,"2017-11-03 11:30:30"
"2017-11-03 12:05:30",33910,10.53,89.3,993.36,77.1,0,"2017-11-03 12:00:30"
"2017-11-03 12:35:30",33911,10.33,90,993.6005,63.21,0,"2017-11-03 12:30:30"
"2017-11-03 13:05:30",33912,10.38,88.2,993.9865,43.32,0,"2017-11-03 13:00:30"
"2017-11-03 13:35:30",33913,10.54,80.8,994.3233,84.9,0,"2017-11-03 13:30:30"
"2017-11-03 14:05:30",33914,10.38,78.92,994.455,52.54,0,"2017-11-03 14:00:30"
"2018-04-17 15:35:30",33915,4.316,70.08,984.5769,0.493,0,"2018-04-17 15:30:30"
"2018-04-17 16:05:30",33916,4.129,67.45,984.7226,0.303,0,"2018-04-17 16:00:30"
"2018-04-23 17:05:30",33917,16.32,20.89,999.6429,507,0,"2018-04-23 17:00:30"
"2018-04-23 17:35:30",33918,15.79,22.96,999.5012,429.2,0,"2018-04-23 17:30:30"
"2018-04-23 18:05:30",33919,16.4,22.58,999.1907,330.5,0,"2018-04-23 18:00:30"
"2018-04-23 18:35:30",33920,14.35,30.35,998.8657,235.6,0,"2018-04-23 18:30:30"
"2018-04-23 19:05:30",33921,14.72,30.47,998.3405,145.3,0,"2018-04-23 19:00:30"
"2018-04-23 19:35:30",33922,15.4,27.13,998.3204,29.53,0,"2018-04-23 19:30:30"
"2018-04-23 20:05:30",33923,12.95,36.76,998.3796,3.035,0,"2018-04-23 20:00:30"
"2018-04-23 20:35:30",33924,12.63,37.53,998.6068,0,0,"2018-04-23 20:30:30"
"2018-04-23 21:05:30",33925,11.54,43.82,998.8268,0,0,"2018-04-23 21:00:30"
"2018-04-23 21:35:30",33926,8.2,61.16,999.1622,0,0,"2018-04-23 21:30:30"
"2018-04-23 22:05:30",33927,9.7,53.86,999.3814,0,0,"2018-04-23 22:00:30"
"2018-04-23 22:35:30",33928,9.65,51.96,999.4689,0,0,"2018-04-23 22:30:30"
"2018-04-23 23:05:30",33929,9.88,49.52,999.4179,0,0,"2018-04-23 23:00:30"
"2018-04-23 23:35:30",33930,8.53,57.26,999.2984,0,0,"2018-04-23 23:30:30"
"2018-04-24 00:05:30",33931,9.18,54,999.2358,0,0,"2018-04-24 00:00:30"
"2018-04-24 00:35:30",33932,8.96,55.95,999.2047,0,0,"2018-04-24 00:30:30"
