"TOA5","OwascoInternetMet","CR1000","60228","CR1000.Std.26","CPU:Owasco_MET.cr1","333","TRB_Avg"
"TIMESTAMP","RECORD","AirTempC_Avg","RHumidity_Avg","P_mb_Avg","SolarRad_Avg","Precip_mm_Max","Precip_mm_TMx"
"TS","RN","","","","","",""
"","","Avg","Avg","Avg","Avg","Max","TMx"
"2020-05-21 14:05:30",53490,19.43,22.56,999.0967,933,0,"2020-05-21 14:00:30"
"2020-05-21 14:35:30",53491,18.85,28.49,998.6727,902,0,"2020-05-21 14:30:30"
"2020-05-21 15:05:30",53492,18.1,33.34,998.2034,854,0,"2020-05-21 15:00:30"
"2020-05-21 15:35:30",53493,19.51,27.24,997.9468,799.7,0,"2020-05-21 15:30:30"
"2020-05-21 16:05:30",53494,19.79,27.56,997.3734,733.9,0,"2020-05-21 16:00:30"
"2020-05-21 16:35:30",53495,22.28,18.79,996.8307,656,0,"2020-05-21 16:30:30"
"2020-05-21 17:05:30",53496,20.56,26.61,996.5135,572.9,0,"2020-05-21 17:00:30"
"2020-05-21 17:35:30",53497,20.58,30.11,996.1494,480.7,0,"2020-05-21 17:30:30"
"2020-05-21 18:05:30",53498,20.85,32.6,995.8533,390.6,0,"2020-05-21 18:00:30"
"2020-05-21 18:35:30",53499,21.87,31.17,995.4255,298.4,0,"2020-05-21 18:30:30"
"2020-05-21 19:05:30",53500,18.6,45.5,995.1393,207.5,0,"2020-05-21 19:00:30"
"2020-05-21 19:35:30",53501,18.48,50.19,995.1172,123,0,"2020-05-21 19:30:30"
"2020-05-21 20:05:30",53502,18.1,52.86,995.1297,41.89,0,"2020-05-21 20:00:30"
"2020-05-21 20:35:30",53503,19.52,48.15,995.3629,3.704,0,"2020-05-21 20:30:30"
"2020-05-21 21:05:30",53504,19.24,48.54,995.5652,0.017,0,"2020-05-21 21:00:30"
"2020-05-21 21:35:30",53505,17.37,58.68,995.5677,0,0,"2020-05-21 21:30:30"
"2020-05-21 22:05:30",53506,17.48,56.79,995.7636,0,0,"2020-05-21 22:00:30"
"2020-05-21 22:35:30",53507,16.17,64.47,995.7822,0,0,"2020-05-21 22:30:30"
"2020-05-21 23:05:30",53508,16.48,62.56,995.972,0,0,"2020-05-21 23:00:30"
"2020-05-21 23:35:30",53509,16.91,60.47,995.9867,0,0,"2020-05-21 23:30:30"
"2020-05-22 00:05:30",53510,17.58,56.67,996.2038,0,0,"2020-05-22 00:00:30"
"2020-05-22 00:35:30",53511,14.79,72.8,996.2087,0,0,"2020-05-22 00:30:30"
"2020-05-22 01:05:30",53512,14.72,72.1,996.2975,0,0,"2020-05-22 01:00:30"
"2020-05-22 01:35:30",53513,15.08,68.75,996.3453,0,0,"2020-05-22 01:30:30"
"2020-05-22 02:05:30",53514,14.69,70.75,996.1733,0,0,"2020-05-22 02:00:30"
"2020-05-22 02:35:30",53515,13.95,75.65,996.0764,0,0,"2020-05-22 02:30:30"
"2020-05-22 03:05:30",53516,13.66,76.28,995.9728,0,0,"2020-05-22 03:00:30"
"2020-05-22 03:35:30",53517,13.18,79.42,995.8961,0,0,"2020-05-22 03:30:30"
"2020-05-22 04:05:30",53518,13.1,79.55,995.6982,0,0,"2020-05-22 04:00:30"
"2020-05-22 04:35:30",53519,13.01,79.87,995.705,0,0,"2020-05-22 04:30:30"
"2020-05-22 05:05:30",53520,12.67,82.7,995.5899,0,0,"2020-05-22 05:00:30"
"2020-05-22 05:35:30",53521,12.26,87.1,995.4232,3.379,0,"2020-05-22 05:30:30"
