"TOA5","OwascoInternetMet","CR1000","60228","CR1000.Std.26","CPU:Owasco_MET.cr1","333","WindCorrected"
"TIMESTAMP","RECORD","W_DirCorr","W_SpdRaw_WVc"
"TS","RN","",""
"","","Smp","Smp"
"2020-01-28 10:35:30",53378,283.6,0
"2020-05-18 14:35:30",53487,348.9,0
"2020-05-18 15:05:30",53488,349,0
"2020-05-18 15:35:30",53489,349,0
"2020-05-21 14:05:30",53490,182.2,5.242
"2020-05-21 14:35:30",53491,165.3,3.21
"2020-05-21 15:05:30",53492,169.9,2.65
"2020-05-21 15:35:30",53493,166.8,3.491
"2020-05-21 16:05:30",53494,168.3,1.979
"2020-05-21 16:35:30",53495,143.2,2.584
"2020-05-21 17:05:30",53496,157,1.969
"2020-05-21 17:35:30",53497,172.3,1.348
"2020-05-21 18:05:30",53498,192.7,2.593
"2020-05-21 18:35:30",53499,170.2,2.208
"2020-05-21 19:05:30",53500,179.6,3.339
"2020-05-21 19:35:30",53501,153.6,4.05
"2020-05-21 20:05:30",53502,157.9,3.461
"2020-05-21 20:35:30",53503,193.5,3.368
"2020-05-21 21:05:30",53504,192,3.719
"2020-05-21 21:35:30",53505,161.1,3.933
"2020-05-21 22:05:30",53506,150.2,3.818
"2020-05-21 22:35:30",53507,166.6,3.048
"2020-05-21 23:05:30",53508,161.3,3.83
"2020-05-21 23:35:30",53509,151.1,4.28
"2020-05-22 00:05:30",53510,145.1,4.616
"2020-05-22 00:35:30",53511,161.5,3.191
"2020-05-22 01:05:30",53512,166,4.409
"2020-05-22 01:35:30",53513,158.3,5.204
"2020-05-22 02:05:30",53514,166.4,4.685
"2020-05-22 02:35:30",53515,170.5,4.903
"2020-05-22 03:05:30",53516,171.6,5.932
"2020-05-22 03:35:30",53517,167.4,5.512
"2020-05-22 04:05:30",53518,170.9,5.634
"2020-05-22 04:35:30",53519,170.9,5.519
"2020-05-22 05:05:30",53520,164.1,5.744
"2020-05-22 05:35:30",53521,169.5,5.203
"2020-05-22 06:05:30",53522,169.3,5.931
"2020-05-22 06:35:30",53523,171.6,5.736
"2020-05-22 07:05:30",53524,171.4,5.945
"2020-05-22 07:35:30",53525,169.2,5.349
"2020-05-22 08:05:30",53526,168,3.642
"2020-05-22 08:35:30",53527,154.8,3.449
"2020-05-22 09:05:30",53528,172.9,2.623
"2020-05-22 09:35:30",53529,153.1,2.262
"2020-05-22 10:05:30",53530,140.5,1.678
"2020-05-22 10:35:30",53531,138.7,1.021
"2020-05-22 11:05:30",53532,23.78,0.78
"2020-05-22 11:35:30",53533,322.7,1.764
"2020-05-22 12:05:30",53534,353.3,2.402
"2020-05-22 12:35:30",53535,341.1,1.898
"2020-05-22 13:05:30",53536,338.1,1.135
