"TOA5","OwascoInternetMet","CR1000","60228","CR1000.Std.26","CPU:Owasco_MET.cr1","333","WindMax"
"TIMESTAMP","RECORD","W_SpdRaw_Max","W_SpdRaw_TMx"
"TS","RN","",""
"","","Max","TMx"
"2020-05-21 14:05:30",53490,6.507,"2020-05-21 14:02:15"
"2020-05-21 14:35:30",53491,6.252,"2020-05-21 14:30:00"
"2020-05-21 15:05:30",53492,3.254,"2020-05-21 15:05:25"
"2020-05-21 15:35:30",53493,4.214,"2020-05-21 15:31:25"
"2020-05-21 16:05:30",53494,3.195,"2020-05-21 16:00:00"
"2020-05-21 16:35:30",53495,3.156,"2020-05-21 16:33:40"
"2020-05-21 17:05:30",53496,2.862,"2020-05-21 17:00:00"
"2020-05-21 17:35:30",53497,2.019,"2020-05-21 17:30:00"
"2020-05-21 18:05:30",53498,3.822,"2020-05-21 18:00:25"
"2020-05-21 18:35:30",53499,2.842,"2020-05-21 18:30:20"
"2020-05-21 19:05:30",53500,3.861,"2020-05-21 19:05:15"
"2020-05-21 19:35:30",53501,4.743,"2020-05-21 19:34:35"
"2020-05-21 20:05:30",53502,4.508,"2020-05-21 20:00:00"
"2020-05-21 20:35:30",53503,3.861,"2020-05-21 20:30:20"
"2020-05-21 21:05:30",53504,4.214,"2020-05-21 21:03:10"
"2020-05-21 21:35:30",53505,4.978,"2020-05-21 21:31:10"
"2020-05-21 22:05:30",53506,4.41,"2020-05-21 22:02:50"
"2020-05-21 22:35:30",53507,3.371,"2020-05-21 22:32:05"
"2020-05-21 23:05:30",53508,4.41,"2020-05-21 23:00:10"
"2020-05-21 23:35:30",53509,4.802,"2020-05-21 23:34:10"
"2020-05-22 00:05:30",53510,5.566,"2020-05-22 00:05:00"
"2020-05-22 00:35:30",53511,5.174,"2020-05-22 00:30:00"
"2020-05-22 01:05:30",53512,5.096,"2020-05-22 01:00:25"
"2020-05-22 01:35:30",53513,5.919,"2020-05-22 01:35:15"
"2020-05-22 02:05:30",53514,5.606,"2020-05-22 02:00:00"
"2020-05-22 02:35:30",53515,5.547,"2020-05-22 02:30:10"
"2020-05-22 03:05:30",53516,6.448,"2020-05-22 03:01:10"
"2020-05-22 03:35:30",53517,5.86,"2020-05-22 03:30:20"
"2020-05-22 04:05:30",53518,6.448,"2020-05-22 04:05:30"
"2020-05-22 04:35:30",53519,6.448,"2020-05-22 04:30:00"
"2020-05-22 05:05:30",53520,6.311,"2020-05-22 05:04:20"
"2020-05-22 05:35:30",53521,6.174,"2020-05-22 05:30:00"
"2020-05-22 06:05:30",53522,6.488,"2020-05-22 06:02:40"
"2020-05-22 06:35:30",53523,6.527,"2020-05-22 06:35:00"
"2020-05-22 07:05:30",53524,6.566,"2020-05-22 07:04:20"
"2020-05-22 07:35:30",53525,6.135,"2020-05-22 07:30:00"
"2020-05-22 08:05:30",53526,5.135,"2020-05-22 08:00:00"
"2020-05-22 08:35:30",53527,4.155,"2020-05-22 08:30:40"
"2020-05-22 09:05:30",53528,3.724,"2020-05-22 09:00:00"
"2020-05-22 09:35:30",53529,2.666,"2020-05-22 09:35:25"
"2020-05-22 10:05:30",53530,2.607,"2020-05-22 10:00:00"
"2020-05-22 10:35:30",53531,1.686,"2020-05-22 10:30:00"
"2020-05-22 11:05:30",53532,0.921,"2020-05-22 11:02:40"
"2020-05-22 11:35:30",53533,1.98,"2020-05-22 11:32:20"
"2020-05-22 12:05:30",53534,2.666,"2020-05-22 12:03:35"
"2020-05-22 12:35:30",53535,2.097,"2020-05-22 12:34:40"
"2020-05-22 13:05:30",53536,1.784,"2020-05-22 13:00:00"
"2020-05-22 13:35:30",53537,1.254,"2020-05-22 13:30:00"
"2020-05-22 14:05:30",53538,1.548,"2020-05-22 14:03:50"
"2020-05-22 14:35:30",53539,1.431,"2020-05-22 14:35:15"
"2020-05-22 15:05:30",53540,1.235,"2020-05-22 15:02:00"
"2020-05-22 15:35:30",53541,1.411,"2020-05-22 15:35:05"
"2020-05-22 16:05:30",53542,2.352,"2020-05-22 16:05:25"
"2020-05-22 16:35:30",53543,2.352,"2020-05-22 16:30:00"
"2020-05-22 17:05:30",53544,1.999,"2020-05-22 17:05:20"
"2020-05-22 17:35:30",53545,1.431,"2020-05-22 17:30:00"
"2020-05-22 18:05:30",53546,0.549,"2020-05-22 18:05:15"
"2020-05-22 18:35:30",53547,0.941,"2020-05-22 18:35:30"
"2020-05-22 19:05:30",53548,2.724,"2020-05-22 19:03:50"
"2020-05-22 19:35:30",53549,4.332,"2020-05-22 19:35:10"
"2020-05-22 20:05:30",53550,5.508,"2020-05-22 20:01:15"
"2020-05-22 20:35:30",53551,6.527,"2020-05-22 20:32:30"
"2020-05-22 21:05:30",53552,6.194,"2020-05-22 21:02:45"
"2020-05-22 21:35:30",53553,5.096,"2020-05-22 21:30:00"
"2020-05-22 22:05:30",53554,4.763,"2020-05-22 22:00:30"
"2020-05-22 22:35:30",53555,4.136,"2020-05-22 22:35:25"
"2020-05-22 23:05:30",53556,4.136,"2020-05-22 23:00:00"
"2020-05-22 23:35:30",53557,1.784,"2020-05-22 23:30:00"
"2020-05-23 00:05:30",53558,1.058,"2020-05-23 00:00:00"
"2020-05-23 00:35:30",53559,0.608,"2020-05-23 00:30:55"
"2020-05-23 01:05:30",53560,0.98,"2020-05-23 01:01:45"
"2020-05-23 01:35:30",53561,0.784,"2020-05-23 01:32:50"
"2020-05-23 02:05:30",53562,0.588,"2020-05-23 02:00:00"
"2020-05-23 02:35:30",53563,0,"2020-05-23 02:30:00"
"2020-05-23 03:05:30",53564,0,"2020-05-23 03:00:00"
"2020-05-23 03:35:30",53565,0,"2020-05-23 03:30:00"
"2020-05-23 04:05:30",53566,0.412,"2020-05-23 04:01:25"
"2020-05-23 04:35:30",53567,0.98,"2020-05-23 04:35:20"
"2020-05-23 05:05:30",53568,1.156,"2020-05-23 05:03:40"
"2020-05-23 05:35:30",53569,1.901,"2020-05-23 05:33:20"
"2020-05-23 06:05:30",53570,1.529,"2020-05-23 06:00:00"
"2020-05-23 06:35:30",53571,0.549,"2020-05-23 06:30:25"
"2020-05-23 07:05:30",53572,1.392,"2020-05-23 07:03:20"
"2020-05-23 07:35:30",53573,1.176,"2020-05-23 07:33:30"
"2020-05-23 08:05:30",53574,0.686,"2020-05-23 08:04:55"
"2020-05-23 08:35:30",53575,1.686,"2020-05-23 08:34:20"
"2020-05-23 09:05:30",53576,4.39,"2020-05-23 09:04:55"
"2020-05-23 09:35:30",53577,2.528,"2020-05-23 09:32:00"
"2020-05-23 10:05:30",53578,2.156,"2020-05-23 10:05:20"
"2020-05-23 10:35:30",53579,3.175,"2020-05-23 10:33:45"
"2020-05-23 11:05:30",53580,3.312,"2020-05-23 11:01:05"
"2020-05-23 11:35:30",53581,4.626,"2020-05-23 11:34:05"
"2020-05-23 12:05:30",53582,3.528,"2020-05-23 12:02:05"
"2020-05-23 12:35:30",53583,2.626,"2020-05-23 12:30:00"
"2020-05-23 13:05:30",53584,1.823,"2020-05-23 13:05:20"
"2020-05-23 13:35:30",53585,2.822,"2020-05-23 13:34:10"
"2020-05-23 14:05:30",53586,3.587,"2020-05-23 14:05:20"
"2020-05-23 14:35:30",53587,3.744,"2020-05-23 14:31:20"
"2020-05-23 15:05:30",53588,5.076,"2020-05-23 15:01:05"
"2020-05-23 15:35:30",53589,6.292,"2020-05-23 15:32:35"
"2020-05-23 16:05:30",53590,5.527,"2020-05-23 16:00:00"
"2020-05-23 16:35:30",53591,4.665,"2020-05-23 16:30:00"
"2020-05-23 17:05:30",53592,4.547,"2020-05-23 17:03:00"
"2020-05-23 17:35:30",53593,5.096,"2020-05-23 17:35:10"
"2020-05-23 18:05:30",53594,4.782,"2020-05-23 18:00:00"
"2020-05-23 18:35:30",53595,3.861,"2020-05-23 18:31:00"
"2020-05-23 19:05:30",53596,3.842,"2020-05-23 19:00:00"
"2020-05-23 19:35:30",53597,3.136,"2020-05-23 19:30:00"
"2020-05-23 20:05:30",53598,2.019,"2020-05-23 20:00:00"
"2020-05-23 20:35:30",53599,1.156,"2020-05-23 20:30:00"
"2020-05-23 21:05:30",53600,1.117,"2020-05-23 21:01:35"
"2020-05-23 21:35:30",53601,3.058,"2020-05-23 21:35:15"
"2020-05-23 22:05:30",53602,2.94,"2020-05-23 22:00:00"
"2020-05-23 22:35:30",53603,2.411,"2020-05-23 22:34:25"
"2020-05-23 23:05:30",53604,2.195,"2020-05-23 23:05:10"
"2020-05-23 23:35:30",53605,2.842,"2020-05-23 23:35:30"
"2020-05-24 00:05:30",53606,6.488,"2020-05-24 00:04:05"
"2020-05-24 00:35:30",53607,7.076,"2020-05-24 00:34:30"
"2020-05-24 01:05:30",53608,6.899,"2020-05-24 01:00:10"
"2020-05-24 01:35:30",53609,5.998,"2020-05-24 01:33:40"
"2020-05-24 02:05:30",53610,5.547,"2020-05-24 02:00:00"
"2020-05-24 02:35:30",53611,9,"2020-05-24 02:35:15"
"2020-05-24 03:05:30",53612,9.96,"2020-05-24 03:00:25"
"2020-05-24 03:35:30",53613,11.33,"2020-05-24 03:32:15"
"2020-05-24 04:05:30",53614,10.41,"2020-05-24 04:04:55"
"2020-05-24 04:35:30",53615,9.66,"2020-05-24 04:34:50"
"2020-05-24 05:05:30",53616,9.92,"2020-05-24 05:01:25"
"2020-05-24 05:35:30",53617,9.04,"2020-05-24 05:30:55"
"2020-05-24 06:05:30",53618,8.06,"2020-05-24 06:00:00"
"2020-05-24 06:35:30",53619,7.86,"2020-05-24 06:31:50"
"2020-05-24 07:05:30",53620,7.664,"2020-05-24 07:04:50"
"2020-05-24 07:35:30",53621,7.86,"2020-05-24 07:33:40"
"2020-05-24 08:05:30",53622,7.683,"2020-05-24 08:04:45"
"2020-05-24 08:35:30",53623,7.879,"2020-05-24 08:33:15"
"2020-05-24 09:05:30",53624,7.84,"2020-05-24 09:05:20"
"2020-05-24 09:35:30",53625,6.978,"2020-05-24 09:30:00"
"2020-05-24 10:05:30",53626,7.683,"2020-05-24 10:00:20"
"2020-05-24 10:35:30",53627,7.84,"2020-05-24 10:31:35"
"2020-05-24 11:05:30",53628,7.076,"2020-05-24 11:00:00"
"2020-05-24 11:35:30",53629,5.919,"2020-05-24 11:34:20"
"2020-05-24 12:05:30",53630,4.939,"2020-05-24 12:01:20"
"2020-05-24 12:35:30",53631,4.469,"2020-05-24 12:35:10"
"2020-05-24 13:05:30",53632,5.606,"2020-05-24 13:02:55"
"2020-05-24 13:35:30",53633,4.253,"2020-05-24 13:31:05"
"2020-05-24 14:05:30",53634,5.782,"2020-05-24 14:02:00"
"2020-05-24 14:35:30",53635,7.879,"2020-05-24 14:32:25"
"2020-05-24 15:05:30",53636,7.899,"2020-05-24 15:00:20"
"2020-05-24 15:35:30",53637,8.31,"2020-05-24 15:33:35"
"2020-05-24 16:05:30",53638,7.605,"2020-05-24 16:04:05"
"2020-05-24 16:35:30",53639,5.821,"2020-05-24 16:31:45"
"2020-05-24 17:05:30",53640,8.94,"2020-05-24 17:05:00"
"2020-05-24 17:35:30",53641,8.43,"2020-05-24 17:32:50"
"2020-05-24 18:05:30",53642,6.194,"2020-05-24 18:05:20"
"2020-05-24 18:35:30",53643,7.82,"2020-05-24 18:35:30"
"2020-05-24 19:05:30",53644,8.9,"2020-05-24 19:03:40"
"2020-05-24 19:35:30",53645,9.41,"2020-05-24 19:33:45"
"2020-05-24 20:05:30",53646,7.389,"2020-05-24 20:04:10"
"2020-05-24 20:35:30",53647,6.86,"2020-05-24 20:34:55"
"2020-05-24 21:05:30",53648,6.703,"2020-05-24 21:03:15"
"2020-05-24 21:35:30",53649,6.213,"2020-05-24 21:30:00"
"2020-05-24 22:05:30",53650,6.213,"2020-05-24 22:03:45"
"2020-05-24 22:35:30",53651,7.938,"2020-05-24 22:35:15"
"2020-05-24 23:05:30",53652,7.722,"2020-05-24 23:03:45"
"2020-05-24 23:35:30",53653,8.06,"2020-05-24 23:33:00"
"2020-05-25 00:05:30",53654,9.17,"2020-05-25 00:04:00"
"2020-05-25 00:35:30",53655,11.72,"2020-05-25 00:35:25"
"2020-05-25 01:05:30",53656,10.82,"2020-05-25 01:00:00"
