"TOA5","OwascoInternetWinch","CR1000","57852","CR1000.Std.26","CPU:Owasco 44.cr1","23139","DbgMoveSequence"
"TIMESTAMP","RECORD","DbgStr","DbgStr2"
"TS","RN","",""
"","","Smp","Smp"
"2020-05-30 12:00:31",1434,"44.21; 44.46; 44.66; 44.88; 45.12; 45.32; 45.54; 45.76; 45.96; (1)46.16; (1)46.44; ","[ (1)  Curr( 46.44) PrevDpt( 46.16) ]; "
"2020-05-30 12:01:51",1435,"46.39; 46.19; 46.02; 45.85; 45.65; (-1)45.5; (-1)45.16; (-1)45.02; ","[ (-1)  Curr( 45.02) PrevDpt( 45.16) ]; "
"2020-05-30 12:03:18",1436,"44.99; 44.77; 44.59; 44.39; 44.19; 44; (-1)43.83; (-1)43.54; ","[ (-1)  Curr( 43.54) PrevDpt( 43.83) ]; "
"2020-05-30 12:04:42",1437,"43.5; 43.31; 43.08; 42.89; 42.7; 42.47; (-1)42.33; (-1)42.04; ","[ (-1)  Curr( 42.04) PrevDpt( 42.33) ]; "
"2020-05-30 12:06:06",1438,"41.99; 41.78; 41.59; 41.37; 41.18; 40.96; (-1)40.81; (-1)40.54; ","[ (-1)  Curr( 40.54) PrevDpt( 40.81) ]; "
"2020-05-30 12:07:30",1439,"40.5; 40.3; 40.07; 39.88; 39.66; 39.47; (-1)39.3; (-1)39.04; ","[ (-1)  Curr( 39.04) PrevDpt( 39.3) ]; "
"2020-05-30 12:08:54",1440,"38.98; 38.78; 38.6; 38.38; 38.19; 37.99; (-1)37.83; (-1)37.56; ","[ (-1)  Curr( 37.56) PrevDpt( 37.83) ]; "
"2020-05-30 12:10:18",1441,"37.52; 37.3; 37.11; 36.91; 36.71; 36.5; (-1)36.33; (-1)36.04; ","[ (-1)  Curr( 36.04) PrevDpt( 36.33) ]; "
"2020-05-30 12:11:42",1442,"35.99; 35.8; 35.57; 35.38; 35.19; 34.98; (-1)34.81; (-1)34.55; ","[ (-1)  Curr( 34.55) PrevDpt( 34.81) ]; "
"2020-05-30 12:13:06",1443,"34.49; 34.28; 34.07; 33.83; 33.63; (-1)33.45; (-1)33.06; ","[ (-1)  Curr( 33.06) PrevDpt( 33.45) ]; "
"2020-05-30 12:14:29",1444,"33; 32.79; 32.56; 32.38; 32.18; 31.97; (-1)31.81; (-1)31.56; ","[ (-1)  Curr( 31.56) PrevDpt( 31.81) ]; "
"2020-05-30 12:15:53",1445,"31.53; 31.28; 31.08; 30.86; 30.67; 30.46; (-1)30.3; (-1)30.05; ","[ (-1)  Curr( 30.05) PrevDpt( 30.3) ]; "
