"TOA5","OwascoInternetWinch","CR1000","57852","CR1000.Std.26","CPU:Owasco 44.cr1","23139","EventLog"
"TIMESTAMP","RECORD","EventMsg","EventDetails"
"TS","RN","",""
"","","Smp","Smp"
"2020-05-14 11:55:00",94616,"[05/14/2020 11:56:08.23]  ERROR: (SondeReading) - Invalid Depth reading (-0.2 m); Cable(100 m).  (Hourly Sonde Data setup Mode)"," 12.05 -0.20 646.15 29.62 0.20 104.09 11.18 1.28 6.05 10.23   # "
"2020-05-14 12:43:46.85",94617,"***** Datalogger Reset *****","Program Signature: 23139; Profiler version: 26.4; debug: 0; Modbus: 0; [45939]."
"2020-05-14 12:45:39.7",94618,"Modem ON - Reseting at 1432 / 1440","modemCurrMin(765); modemResetMin(1432)"
"2020-05-14 12:45:39.95",94619,"[05/14/2020 12:45:39.95]  WARNING: Unable to verify sonde's time.","Time parameter is not on or not yet known."
"2020-05-14 12:45:39.96",94620,"[05/14/2020 12:45:39.95]  WARNING: Unable to verify sonde's time.","Time parameter is not on or not yet known."
"2020-05-14 12:46:26.1",94621,"(Setup Mode)(F8) - Manual Sonde Parameter reading."," 1 22 7 223 194 211 212 216 28 230   #"
"2020-05-14 12:53:31.46",94622,"***** Datalogger Reset *****","Program Signature: 23139; Profiler version: 26.4; debug: 0; Modbus: 0; [46524]."
"2020-05-14 12:55:24.02",94623,"Modem ON - Reseting at 1432 / 1440","modemCurrMin(775); modemResetMin(1432)"
"2020-05-14 12:55:24.27",94624,"[05/14/2020 12:55:24.27]  WARNING: Unable to verify sonde's time.","Time parameter is not on or not yet known."
"2020-05-14 12:55:24.28",94625,"[05/14/2020 12:55:24.27]  WARNING: Unable to verify sonde's time.","Time parameter is not on or not yet known."
"2020-05-14 13:55:00",94626,"[05/14/2020 13:56:08.22]  WARNING: (SondeReading) - Depth location is not yet known.  (Hourly Sonde Data setup Mode)","Fltreset  OK  # data  15.87 -0.22 647.20 38.64 0.23 108.58 10.73 1.08 6.05 10.43   # "
"2020-05-14 14:55:00",94627,"[05/14/2020 14:56:08.22]  WARNING: (SondeReading) - Depth location is not yet known.  (Hourly Sonde Data setup Mode)","Fltreset  OK  # data  17.32 -0.28 647.24 45.82 0.22 108.71 10.42 1.10 6.05 10.04   # "
"2020-05-15 16:57:15.84",94628,"***** Datalogger Reset *****","Program Signature: 23139; Profiler version: 26.4; debug: 0; Modbus: 0; [61148]."
"2020-05-15 16:59:08.48",94629,"Modem ON - Reseting at 1432 / 1440","modemCurrMin(1019); modemResetMin(1432)"
"2020-05-15 16:59:08.73",94630,"[05/15/2020 16:59:08.73]  WARNING: Unable to verify sonde's time.","Time parameter is not on or not yet known."
