"TOA5","OwascoInternetWinch","CR1000","57852","CR1000.Std.26","CPU:Owasco 44.cr1","23139","SondeHourly"
"TIMESTAMP","RECORD","sensorParms(1)","sensorParms(2)","sensorParms(3)","sensorParms(4)","sensorParms(5)","sensorParms(6)","sensorParms(7)","sensorParms(8)","sensorParms(9)","sensorParms(10)"
"TS","RN","","","","","","","","","",""
"","","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp"
"2020-05-25 12:55:00",4694,5.91,44.01,333.36,-3.14,-0.18,97.25,12.12,0.38,6.05,11.33
"2020-05-25 13:55:00",4695,5.91,44.01,333.29,-3.07,-0.19,97.21,12.12,0.35,6.04,11.05
"2020-05-25 14:55:00",4696,5.89,44,333.42,-3.1,-0.16,96.51,12.04,0.37,6.05,11.47
"2020-05-25 15:55:00",4697,5.87,44,333.33,-3.04,-0.21,96.47,12.04,0.36,6.05,11.51
"2020-05-25 16:55:00",4698,5.93,43.99,333.07,-3.09,-0.21,97.97,12.21,0.37,6.05,11.57
"2020-05-25 17:55:00",4699,6,43.99,333.05,-3.14,-0.16,98.69,12.27,0.38,6.05,11.17
"2020-05-25 18:55:00",4700,5.91,43.99,333.11,-3.07,-0.15,97.78,12.19,0.38,6.05,11.89
"2020-05-25 19:55:00",4701,5.88,43.99,333.24,-3.1,-0.19,96.85,12.08,0.38,6.05,10.47
"2020-05-25 20:55:00",4702,5.92,43.99,333.14,-3.01,-0.14,97.56,12.16,0.36,6.05,10.25
"2020-05-25 21:55:00",4703,5.84,44,333.54,-3.01,-0.21,95.89,11.98,0.4,6.05,10.18
"2020-05-25 22:55:00",4704,5.94,44.01,333.18,-2.8,-0.1,98.53,12.27,0.42,6.05,10.19
"2020-05-25 23:55:00",4705,6.03,44.01,332.85,-3.05,-0.02,98.86,12.29,0.45,6.05,10.1
"2020-05-26 00:55:00",4706,5.86,43.96,333.35,-3.02,-0.11,96.69,12.07,0.37,6.05,9.98
"2020-05-26 01:55:00",4707,5.84,43.96,333.36,-3.09,-0.18,95.95,11.98,0.36,6.05,10.09
"2020-05-26 02:55:00",4708,5.85,43.96,333.36,-3.03,-0.2,95.96,11.98,0.38,6.05,9.96
"2020-05-26 03:55:00",4709,5.94,43.97,333.16,-3.07,-0.15,97.83,12.18,0.4,6.05,10.02
"2020-05-26 04:55:00",4710,5.93,43.97,333.08,-3.08,-0.1,97.82,12.19,0.4,6.05,9.97
"2020-05-26 05:55:00",4711,5.91,43.98,333.13,-2.97,-0.17,97.42,12.14,0.4,6.05,9.91
"2020-05-26 06:55:00",4712,5.91,43.98,333.09,-3.05,-0.17,97.3,12.13,0.37,6.04,10.19
"2020-05-26 07:55:00",4713,5.91,43.98,333.13,-3.07,-0.16,97.15,12.11,0.38,6.05,10.67
"2020-05-26 08:55:00",4714,5.9,43.99,333.14,-3.09,-0.16,96.96,12.09,0.38,6.05,12.12
"2020-05-26 09:55:00",4715,5.91,43.98,333.19,-3.01,-0.18,96.96,12.09,0.36,6.05,11.21
"2020-05-26 10:55:00",4716,5.92,43.98,333.19,-3,-0.14,97.62,12.17,0.4,6.05,11.95
"2020-05-26 11:55:00",4717,5.93,43.98,333.27,-2.97,-0.16,98.15,12.23,0.37,6.05,11.21
"2020-05-26 12:55:00",4718,5.92,44.03,333.14,-3.12,-0.14,97.54,12.16,0.44,6.05,11.95
