"TOA5","OwascoInternetWinch","CR1000","57852","CR1000.Std.26","CPU:Owasco 44.cr1","23139","SystemInternals"
"TIMESTAMP","RECORD","P_RH_Avg","P_Temp_Avg","P_Batt_Min","P_Batt_Max"
"TS","RN","","","",""
"","","Avg","Avg","Min","Max"
"2020-05-25 12:00:00",5016,52.25,17.26,13.4,14.33
"2020-05-25 13:00:00",5017,52.09,18.32,13.39,14.31
"2020-05-25 14:00:00",5018,51.77,19.14,13.39,14.32
"2020-05-25 15:00:00",5019,51.56,20.15,13.38,14.33
"2020-05-25 16:00:00",5020,51.11,21.67,13.38,14.32
"2020-05-25 17:00:00",5021,50.96,23.17,13.38,14.31
"2020-05-25 18:00:00",5022,50.76,24.81,13.38,14.32
"2020-05-25 19:00:00",5023,50.58,26.55,13.38,14.31
"2020-05-25 20:00:00",5024,51,27.76,12.82,14.32
"2020-05-25 21:00:00",5025,52.49,26.38,12.65,12.86
"2020-05-25 22:00:00",5026,53.46,23.46,12.61,12.7
"2020-05-25 23:00:00",5027,53.73,21.13,12.58,12.67
"2020-05-26 00:00:00",5028,53.96,19.17,12.56,12.64
"2020-05-26 01:00:00",5029,54.06,18.09,12.41,12.56
"2020-05-26 02:00:00",5030,53.75,17.48,12.47,12.56
"2020-05-26 03:00:00",5031,53.57,17.21,12.46,12.53
"2020-05-26 04:00:00",5032,53.49,16.98,12.44,12.52
"2020-05-26 05:00:00",5033,53.42,16.77,12.44,12.51
"2020-05-26 06:00:00",5034,53.37,16.59,12.43,12.51
"2020-05-26 07:00:00",5035,53.32,16.57,12.45,12.72
"2020-05-26 08:00:00",5036,53.01,17.16,12.68,13.06
"2020-05-26 09:00:00",5037,52.36,18.25,13.01,14.32
"2020-05-26 10:00:00",5038,51.65,19.88,13.38,14.32
"2020-05-26 11:00:00",5039,50.9,22.23,13.37,14.31
"2020-05-26 12:00:00",5040,50.5,25.22,13.36,14.3
"2020-05-26 13:00:00",5041,50.63,28.7,13.34,14.27
"2020-05-26 14:00:00",5042,50.51,31.56,13.32,14.27
"2020-05-26 15:00:00",5043,50.02,35.13,13.31,14.25
"2020-05-26 16:00:00",5044,49.99,38.34,13.29,14.24
"2020-05-26 17:00:00",5045,49.5,41.68,13.28,14.23
"2020-05-26 18:00:00",5046,50.25,44.15,13.29,14.22
"2020-05-26 19:00:00",5047,50.95,44.82,13.27,14.22
"2020-05-26 20:00:00",5048,51.8,44.56,13.28,14.24
"2020-05-26 21:00:00",5049,53.26,41.3,12.64,14.22
"2020-05-26 22:00:00",5050,54.56,34.63,12.59,12.69
"2020-05-26 23:00:00",5051,54.98,28.74,12.57,12.66
"2020-05-27 00:00:00",5052,54.86,24.69,12.54,12.63
"2020-05-27 01:00:00",5053,54.61,22.25,12.44,12.56
"2020-05-27 02:00:00",5054,54.02,20.81,12.48,12.56
"2020-05-27 03:00:00",5055,53.65,19.82,12.46,12.54
"2020-05-27 04:00:00",5056,53.39,19.1,12.45,12.53
"2020-05-27 05:00:00",5057,53.19,18.55,12.44,12.51
"2020-05-27 06:00:00",5058,53.04,18.15,12.43,12.52
"2020-05-27 07:00:00",5059,52.95,18.06,12.47,12.71
"2020-05-27 08:00:00",5060,52.57,18.72,12.67,13.04
"2020-05-27 09:00:00",5061,51.97,19.74,12.99,14.3
"2020-05-27 10:00:00",5062,51.47,20.94,13.37,14.31
"2020-05-27 11:00:00",5063,50.96,22.39,13.38,14.31
"2020-05-27 12:00:00",5064,50.75,23.72,13.37,14.31
"2020-05-27 13:00:00",5065,50.66,25.21,13.36,14.29
"2020-05-27 14:00:00",5066,50.51,26.53,13.36,14.3
"2020-05-27 15:00:00",5067,50.81,27.19,13.35,14.3
"2020-05-27 16:00:00",5068,51.18,27.37,13.36,14.3
"2020-05-27 17:00:00",5069,51.47,27.01,13.36,14.3
"2020-05-27 18:00:00",5070,51.5,27.06,13.36,14.3
"2020-05-27 19:00:00",5071,51.63,27.35,13.36,14.3
"2020-05-27 20:00:00",5072,52.19,26.57,13.12,14.3
"2020-05-27 21:00:00",5073,52.68,24.85,12.61,14.3
"2020-05-27 22:00:00",5074,53.21,22.52,12.57,12.66
"2020-05-27 23:00:00",5075,53.38,20.68,12.54,12.63
"2020-05-28 00:00:00",5076,53.42,19.52,12.53,12.62
"2020-05-28 01:00:00",5077,53.29,19.14,12.41,12.54
"2020-05-28 02:00:00",5078,52.95,18.85,12.47,12.55
"2020-05-28 03:00:00",5079,52.94,18.32,12.44,12.52
"2020-05-28 04:00:00",5080,52.93,17.93,12.42,12.5
"2020-05-28 05:00:00",5081,52.87,17.74,12.42,12.49
"2020-05-28 06:00:00",5082,52.81,17.62,12.4,12.48
"2020-05-28 07:00:00",5083,52.78,17.55,12.41,12.58
"2020-05-28 08:00:00",5084,52.61,17.8,12.54,12.94
"2020-05-28 09:00:00",5085,52.19,18.6,12.86,13.08
"2020-05-28 10:00:00",5086,51.89,19.34,13.02,14.32
"2020-05-28 11:00:00",5087,51.55,20.26,13.38,14.32
"2020-05-28 12:00:00",5088,51.41,21.09,13.38,14.32
"2020-05-28 13:00:00",5089,51.62,21.73,12.67,14.31
"2020-05-28 14:00:00",5090,51.43,22.22,13.38,14.31
"2020-05-28 15:00:00",5091,51.47,22.54,13.38,14.31
"2020-05-28 16:00:00",5092,51.29,23.2,13.37,14.31
"2020-05-28 17:00:00",5093,51.59,23.31,13.37,14.32
"2020-05-28 18:00:00",5094,51.58,23.06,13.38,14.32
"2020-05-28 19:00:00",5095,51.27,23.54,13.37,14.31
"2020-05-28 20:00:00",5096,52.01,23.13,13.38,14.32
"2020-05-28 21:00:00",5097,52.38,22.49,12.6,14.31
"2020-05-28 22:00:00",5098,52.81,21.31,12.56,12.65
"2020-05-28 23:00:00",5099,52.96,20.15,12.53,12.62
"2020-05-29 00:00:00",5100,53.09,19.2,12.52,12.61
"2020-05-29 01:00:00",5101,53.1,18.84,12.4,12.53
"2020-05-29 02:00:00",5102,52.81,18.8,12.45,12.54
"2020-05-29 03:00:00",5103,52.79,18.64,12.43,12.51
"2020-05-29 04:00:00",5104,52.81,18.42,12.42,12.49
"2020-05-29 05:00:00",5105,52.79,18.37,12.4,12.48
"2020-05-29 06:00:00",5106,52.69,18.46,12.39,12.48
