"TOA5","OwascoWinchInternet","CR1000","57852","CR1000.Std.26","CPU:Owasco.cr1","37634","EventLog"
"TIMESTAMP","RECORD","EventMsg","EventDetails"
"TS","RN","",""
"","","Smp","Smp"
"2019-10-30 00:00:00",94226,"[10/30/2019 00:00:05.79]  Water available (46.5); Start Depth (46.5); End Depth (1)."," StartX [46.5]; EndX [1] BottomType[0]; bIsBottomRef[0]; ProfileLeg[1]"
"2019-10-30 00:46:22",94227,"[10/30/2019 00:51:13.83] *** End of profile [350] ***",""
"2021-04-06 11:55:00",138386,"[04/06/2021 11:56:08.24]  ERROR: (SondeReading) - Invalid Depth reading (-0.28 m); Cable(100 m).  (Hourly Sonde Data setup Mode)"," 14.60 -0.28 672.99 -3.23 -0.33 78.48 7.97 -0.37 5.97 11.39   # "
"2021-04-09 14:43:09.72",138387,"***** Datalogger Reset *****","Program Signature: 23139; Profiler version: 26.4; debug: 0; Modbus: 0; [53102]."
"2021-04-09 14:45:02.67",138388,"Modem ON - Reseting at 1432 / 1440","modemCurrMin(885); modemResetMin(1432)"
"2021-04-09 14:45:02.93",138389,"[04/09/2021 14:45:02.93]  WARNING: Unable to verify sonde's time.","Time parameter is not on or not yet known."
"2021-04-09 14:45:02.94",138390,"[04/09/2021 14:45:02.93]  WARNING: Unable to verify sonde's time.","Time parameter is not on or not yet known."
"2021-04-09 14:45:45.1",138391,"(Setup Mode)(F8) - Manual Sonde Parameter reading."," 1 22 7 223 194 211 212 216 28 230   #"
"2021-04-09 14:49:40.45",138392,"***** Datalogger Reset *****","Program Signature: 23139; Profiler version: 26.4; debug: 0; Modbus: 0; [53493]."
"2021-04-09 14:51:33.2",138393,"Modem ON - Reseting at 1432 / 1440","modemCurrMin(891); modemResetMin(1432)"
"2021-04-09 14:51:33.45",138394,"[04/09/2021 14:51:33.45]  WARNING: Unable to verify sonde's time.","Time parameter is not on or not yet known."
"2021-04-09 14:51:33.46",138395,"[04/09/2021 14:51:33.45]  WARNING: Unable to verify sonde's time.","Time parameter is not on or not yet known."
"2021-04-09 14:52:01.1",138396,"(Setup Mode)(F8) - Manual Sonde Parameter reading."," 1 22 7 223 194 211 212 216 28 230   #"
"2021-04-09 14:54:25.1",138397,"(Setup Mode)(F8) - Manual Sonde Parameter reading."," 1 22 7 223 194 211 212 216 28 230   #"
"2021-04-09 14:56:07.7",138398,"(Setup Mode) (F5) - Manual RS232 reading."," 21.37 0.13 1043.15 -0.44 -0.02 97.92 8.64 -0.09 5.93 10.20   # "
"2021-04-09 14:56:35.1",138399,"(Setup Mode)(F8) - Manual Sonde Parameter reading."," 1 22 7 223 194 211 212 216 28 230   #"
