"TOA5","OwascoMetDirect","CR1000","60228","CR1000.Std.26","CPU:Owasco_MET.cr1","333","WindMax"
"TIMESTAMP","RECORD","W_SpdRaw_Max","W_SpdRaw_TMx"
"TS","RN","",""
"","","Max","TMx"
"2020-11-04 13:35:31",61505,0,"2020-11-04 13:30:00"
"2020-11-04 14:05:31",61506,0,"2020-11-04 14:00:00"
"2020-11-04 14:35:31",61507,0,"2020-11-04 14:30:00"
"2020-11-04 15:05:31",61508,0,"2020-11-04 15:00:00"
"2020-11-04 15:35:31",61509,0,"2020-11-04 15:30:00"
"2020-11-04 16:05:31",61510,0,"2020-11-04 16:00:00"
"2020-11-04 16:35:31",61511,0,"2020-11-04 16:30:00"
"2020-11-04 17:05:31",61512,0,"2020-11-04 17:00:00"
"2020-11-04 17:35:31",61513,0,"2020-11-04 17:30:00"
"2020-11-04 18:05:31",61514,0,"2020-11-04 18:00:00"
"2020-11-04 18:35:31",61515,0,"2020-11-04 18:30:00"
"2020-11-04 19:05:31",61516,0,"2020-11-04 19:00:00"
"2020-11-04 19:35:31",61517,0,"2020-11-04 19:30:00"
"2020-11-04 20:05:31",61518,0,"2020-11-04 20:00:00"
"2020-11-04 20:35:31",61519,0,"2020-11-04 20:30:00"
"2020-11-04 21:05:31",61520,0,"2020-11-04 21:00:00"
"2020-11-04 21:35:31",61521,0,"2020-11-04 21:30:00"
"2020-11-04 22:05:31",61522,0,"2020-11-04 22:00:00"
"2020-11-04 22:35:31",61523,0,"2020-11-04 22:30:00"
"2020-11-04 23:05:31",61524,0,"2020-11-04 23:00:00"
"2020-11-04 23:35:31",61525,0,"2020-11-04 23:30:00"
"2020-11-05 00:05:31",61526,0,"2020-11-05 00:00:00"
"2020-11-05 00:35:31",61527,0,"2020-11-05 00:30:00"
"2020-11-05 01:05:31",61528,0,"2020-11-05 01:00:00"
"2020-11-05 01:35:31",61529,0,"2020-11-05 01:30:00"
"2020-11-05 02:05:31",61530,0,"2020-11-05 02:00:00"
"2020-11-05 02:35:31",61531,0,"2020-11-05 02:30:00"
"2020-11-05 03:05:31",61532,0,"2020-11-05 03:00:00"
"2020-11-05 03:35:31",61533,0,"2020-11-05 03:30:00"
"2020-11-05 04:05:31",61534,0,"2020-11-05 04:00:00"
"2020-11-05 04:35:31",61535,0,"2020-11-05 04:30:00"
"2020-11-05 05:05:31",61536,0,"2020-11-05 05:00:00"
"2020-11-05 05:35:31",61537,0,"2020-11-05 05:30:00"
"2020-11-05 06:05:31",61538,0,"2020-11-05 06:00:00"
"2020-11-05 06:35:31",61539,0,"2020-11-05 06:30:00"
"2020-11-05 07:05:31",61540,0,"2020-11-05 07:00:00"
"2020-11-05 07:35:31",61541,0,"2020-11-05 07:30:00"
"2020-11-05 08:05:31",61542,0,"2020-11-05 08:00:00"
"2020-11-05 08:35:31",61543,0,"2020-11-05 08:30:00"
"2020-11-05 09:05:31",61544,0,"2020-11-05 09:00:00"
"2020-11-05 09:35:31",61545,0,"2020-11-05 09:30:00"
"2020-11-05 10:05:31",61546,0,"2020-11-05 10:00:00"
"2020-11-05 10:35:31",61547,0,"2020-11-05 10:30:00"
"2020-11-05 11:05:31",61548,0,"2020-11-05 11:00:00"
"2020-11-05 11:35:31",61549,0,"2020-11-05 11:30:00"
"2020-11-05 12:05:31",61550,0,"2020-11-05 12:00:00"
"2020-11-05 12:35:31",61551,0,"2020-11-05 12:30:00"
"2020-11-05 13:05:31",61552,0,"2020-11-05 13:00:00"
"2020-11-05 13:35:31",61553,0,"2020-11-05 13:30:00"
"2020-11-05 14:05:31",61554,0,"2020-11-05 14:00:00"
"2020-11-05 14:35:31",61555,0,"2020-11-05 14:30:00"
"2020-11-05 15:05:31",61556,0,"2020-11-05 15:00:00"
"2020-11-05 15:35:31",61557,0,"2020-11-05 15:30:00"
"2020-11-05 16:05:31",61558,0,"2020-11-05 16:00:00"
"2020-11-05 16:35:31",61559,0,"2020-11-05 16:30:00"
"2020-11-05 17:05:31",61560,0,"2020-11-05 17:00:00"
"2020-11-05 17:35:31",61561,0,"2020-11-05 17:30:00"
"2020-11-05 18:05:31",61562,0,"2020-11-05 18:00:00"
"2020-11-05 18:35:31",61563,0,"2020-11-05 18:30:00"
"2020-11-05 19:05:31",61564,0,"2020-11-05 19:00:00"
"2020-11-05 19:35:31",61565,0,"2020-11-05 19:30:00"
"2020-11-05 20:05:31",61566,0,"2020-11-05 20:00:00"
"2020-11-05 20:35:31",61567,0,"2020-11-05 20:30:00"
"2020-11-05 21:05:31",61568,0,"2020-11-05 21:00:00"
"2020-11-05 21:35:31",61569,0,"2020-11-05 21:30:00"
"2020-11-05 22:05:31",61570,0,"2020-11-05 22:00:00"
"2020-11-05 22:35:31",61571,0,"2020-11-05 22:30:00"
"2020-11-05 23:05:31",61572,0,"2020-11-05 23:00:00"
"2020-11-05 23:35:31",61573,0,"2020-11-05 23:30:00"
"2020-11-06 00:05:31",61574,0,"2020-11-06 00:00:00"
"2020-11-06 00:35:31",61575,0,"2020-11-06 00:30:00"
"2020-11-06 01:05:31",61576,0,"2020-11-06 01:00:00"
"2020-11-06 01:35:31",61577,0,"2020-11-06 01:30:00"
"2020-11-06 02:05:31",61578,0,"2020-11-06 02:00:00"
"2020-11-06 02:35:31",61579,0,"2020-11-06 02:30:00"
"2020-11-06 03:05:31",61580,0,"2020-11-06 03:00:00"
"2020-11-06 03:35:31",61581,0,"2020-11-06 03:30:00"
"2020-11-06 04:05:31",61582,0,"2020-11-06 04:00:00"
"2020-11-06 04:35:31",61583,0,"2020-11-06 04:30:00"
"2020-11-06 05:05:31",61584,0,"2020-11-06 05:00:00"
"2020-11-06 05:35:31",61585,0,"2020-11-06 05:30:00"
"2020-11-06 06:05:31",61586,0,"2020-11-06 06:00:00"
"2020-11-06 06:35:31",61587,0,"2020-11-06 06:30:00"
"2020-11-06 07:05:31",61588,0,"2020-11-06 07:00:00"
"2020-11-06 07:35:31",61589,0,"2020-11-06 07:30:00"
"2020-11-06 08:05:31",61590,0,"2020-11-06 08:00:00"
"2020-11-06 08:35:31",61591,0,"2020-11-06 08:30:00"
"2020-11-06 09:05:31",61592,0,"2020-11-06 09:00:00"
"2020-11-06 09:35:31",61593,0,"2020-11-06 09:30:00"
"2020-11-06 10:05:31",61594,0,"2020-11-06 10:00:00"
"2020-11-06 10:35:31",61595,0,"2020-11-06 10:30:00"
"2020-11-06 11:05:31",61596,0,"2020-11-06 11:00:00"
"2020-11-06 11:35:31",61597,0,"2020-11-06 11:30:00"
"2020-11-06 12:05:31",61598,0,"2020-11-06 12:00:00"
"2020-11-06 12:35:31",61599,0,"2020-11-06 12:30:00"
"2020-11-06 13:05:31",61600,0,"2020-11-06 13:00:00"
"2020-11-06 13:35:31",61601,0,"2020-11-06 13:30:00"
"2020-11-06 14:05:31",61602,0,"2020-11-06 14:00:00"
"2020-11-06 14:35:31",61603,0,"2020-11-06 14:30:00"
"2020-11-06 15:05:31",61604,0,"2020-11-06 15:00:00"
"2020-11-06 15:35:31",61605,0,"2020-11-06 15:30:00"
"2020-11-06 16:05:31",61606,0,"2020-11-06 16:00:00"
"2020-11-06 16:35:31",61607,0,"2020-11-06 16:30:00"
"2020-11-06 17:05:31",61608,0,"2020-11-06 17:00:00"
"2020-11-06 17:35:31",61609,0,"2020-11-06 17:30:00"
"2020-11-06 18:05:31",61610,0,"2020-11-06 18:00:00"
"2020-11-06 18:35:31",61611,0,"2020-11-06 18:30:00"
"2020-11-06 19:05:31",61612,0,"2020-11-06 19:00:00"
"2020-11-06 19:35:31",61613,0,"2020-11-06 19:30:00"
"2020-11-06 20:05:31",61614,0,"2020-11-06 20:00:00"
"2020-11-06 20:35:31",61615,0,"2020-11-06 20:30:00"
"2020-11-06 21:05:31",61616,0,"2020-11-06 21:00:00"
"2020-11-06 21:35:31",61617,0,"2020-11-06 21:30:00"
"2020-11-06 22:05:31",61618,0,"2020-11-06 22:00:00"
"2020-11-06 22:35:31",61619,0,"2020-11-06 22:30:00"
"2020-11-06 23:05:31",61620,0,"2020-11-06 23:00:00"
"2020-11-06 23:35:31",61621,0,"2020-11-06 23:30:00"
"2020-11-07 00:05:31",61622,0,"2020-11-07 00:00:00"
"2020-11-07 00:35:31",61623,0,"2020-11-07 00:30:00"
"2020-11-07 01:05:31",61624,0,"2020-11-07 01:00:00"
"2020-11-07 01:35:31",61625,0,"2020-11-07 01:30:00"
"2020-11-07 02:05:31",61626,0,"2020-11-07 02:00:00"
"2020-11-07 02:35:31",61627,0,"2020-11-07 02:30:00"
"2020-11-07 03:05:31",61628,0,"2020-11-07 03:00:00"
"2020-11-07 03:35:31",61629,0,"2020-11-07 03:30:00"
"2020-11-07 04:05:31",61630,0,"2020-11-07 04:00:00"
"2020-11-07 04:35:31",61631,0,"2020-11-07 04:30:00"
"2020-11-07 05:05:31",61632,0,"2020-11-07 05:00:00"
"2020-11-07 05:35:31",61633,0,"2020-11-07 05:30:00"
"2020-11-07 06:05:31",61634,0,"2020-11-07 06:00:00"
"2020-11-07 06:35:31",61635,0,"2020-11-07 06:30:00"
"2020-11-07 07:05:31",61636,0,"2020-11-07 07:00:00"
"2020-11-07 07:35:31",61637,0,"2020-11-07 07:30:00"
"2020-11-07 08:05:31",61638,0,"2020-11-07 08:00:00"
"2020-11-07 08:35:31",61639,0,"2020-11-07 08:30:00"
"2020-11-07 09:05:31",61640,0,"2020-11-07 09:00:00"
"2020-11-07 09:35:31",61641,0,"2020-11-07 09:30:00"
"2020-11-07 10:05:31",61642,0,"2020-11-07 10:00:00"
"2020-11-07 10:35:31",61643,0,"2020-11-07 10:30:00"
"2020-11-07 11:05:31",61644,0,"2020-11-07 11:00:00"
"2020-11-07 11:35:31",61645,0,"2020-11-07 11:30:00"
"2020-11-07 12:05:31",61646,0,"2020-11-07 12:00:00"
"2020-11-07 12:35:31",61647,0,"2020-11-07 12:30:00"
"2020-11-07 13:05:31",61648,0,"2020-11-07 13:00:00"
"2020-11-07 13:35:31",61649,0,"2020-11-07 13:30:00"
"2020-11-07 14:05:31",61650,0,"2020-11-07 14:00:00"
"2020-11-07 14:35:31",61651,0,"2020-11-07 14:30:00"
"2020-11-07 15:05:31",61652,0,"2020-11-07 15:00:00"
"2020-11-07 15:35:31",61653,0,"2020-11-07 15:30:00"
"2020-11-07 16:05:31",61654,0,"2020-11-07 16:00:00"
"2020-11-07 16:35:31",61655,0,"2020-11-07 16:30:00"
"2020-11-07 17:05:31",61656,0,"2020-11-07 17:00:00"
"2020-11-07 17:35:31",61657,0,"2020-11-07 17:30:00"
"2020-11-07 18:05:31",61658,0,"2020-11-07 18:00:00"
"2020-11-07 18:35:31",61659,0,"2020-11-07 18:30:00"
"2020-11-07 19:05:31",61660,0,"2020-11-07 19:00:00"
"2020-11-07 19:35:31",61661,0,"2020-11-07 19:30:00"
"2020-11-07 20:05:31",61662,0,"2020-11-07 20:00:00"
"2020-11-07 20:35:31",61663,0,"2020-11-07 20:30:00"
"2020-11-07 21:05:31",61664,0,"2020-11-07 21:00:00"
"2020-11-07 21:35:31",61665,0,"2020-11-07 21:30:00"
"2020-11-07 22:05:31",61666,0,"2020-11-07 22:00:00"
"2020-11-07 22:35:31",61667,0,"2020-11-07 22:30:00"
"2020-11-07 23:05:31",61668,0,"2020-11-07 23:00:00"
"2020-11-07 23:35:31",61669,0,"2020-11-07 23:30:00"
"2020-11-08 00:05:31",61670,0,"2020-11-08 00:00:00"
"2020-11-08 00:35:31",61671,0,"2020-11-08 00:30:00"
"2020-11-08 01:05:31",61672,0,"2020-11-08 01:00:00"
"2020-11-08 01:35:31",61673,0,"2020-11-08 01:30:00"
"2020-11-08 02:05:31",61674,0,"2020-11-08 02:00:00"
"2020-11-08 02:35:31",61675,0,"2020-11-08 02:30:00"
"2020-11-08 03:05:31",61676,0,"2020-11-08 03:00:00"
"2020-11-08 03:35:31",61677,0,"2020-11-08 03:30:00"
"2020-11-08 04:05:31",61678,0,"2020-11-08 04:00:00"
"2020-11-08 04:35:31",61679,0,"2020-11-08 04:30:00"
"2020-11-08 05:05:31",61680,0,"2020-11-08 05:00:00"
"2020-11-08 05:35:31",61681,0,"2020-11-08 05:30:00"
