"TOA5","OwascoWinchDirect","CR1000","57852","CR1000.Std.26","CPU:Owasco 44.cr1","23139","DbgMoveSequence"
"TIMESTAMP","RECORD","DbgStr","DbgStr2"
"TS","RN","",""
"","","Smp","Smp"
"2020-10-07 12:26:48",1850,"21.05; 20.89; 20.72; 20.56; 20.38; 20.19; 20.03; (-1)19.88; (-1)19.59; ","[ (-1)  Curr( 19.59) PrevDpt( 19.88) ]; "
"2020-10-07 12:28:14",1851,"19.55; 19.37; 19.21; 18.98; 18.78; 18.66; 18.49; (-1)18.32; (-1)18.03; ","[ (-1)  Curr( 18.03) PrevDpt( 18.32) ]; "
"2020-10-07 12:29:39",1852,"18.02; 17.87; 17.68; 17.46; 17.3; 17.11; (-1)16.96; (-1)16.59; ","[ (-1)  Curr( 16.59) PrevDpt( 16.96) ]; "
"2020-10-07 12:31:04",1853,"16.54; 16.34; 16.17; 15.96; 15.77; 15.58; (-1)15.42; (-1)15.12; (-1)15.01; ","[ (-1)  Curr( 15.01) PrevDpt( 15.12) ]; "
"2020-10-07 12:32:32",1854,"14.97; 14.79; 14.6; 14.4; 14.2; 13.99; (-1)13.84; (-1)13.64; (-1)13.48; ","[ (-1)  Curr( 13.48) PrevDpt( 13.64) ]; "
"2020-10-07 12:34:00",1855,"13.43; 13.22; 13.05; 12.84; 12.64; (-1)12.49; (-1)12.08; ","[ (-1)  Curr( 12.08) PrevDpt( 12.49) ]; "
"2020-10-07 12:35:23",1856,"12.06; 11.86; 11.65; 11.45; 11.23; 11.05; (-1)10.89; (-1)10.58; ","[ (-1)  Curr( 10.58) PrevDpt( 10.89) ]; "
"2020-10-07 12:36:47",1857,"10.5; 10.35; 10.17; 9.9; 9.7; 9.54; (-1)9.36; (-1)9.060001; ","[ (-1)  Curr( 9.060001) PrevDpt( 9.36) ]; "
"2020-10-07 12:38:11",1858,"9; 8.810001; 8.57; 8.35; 8.17; 7.96; (-1)7.79; (-1)7.56; ","[ (-1)  Curr( 7.56) PrevDpt( 7.79) ]; "
"2020-10-07 12:39:35",1859,"7.5; 7.32; 7.12; 6.86; 6.64; (-1)6.48; (-1)6.09; ","[ (-1)  Curr( 6.09) PrevDpt( 6.48) ]; "
"2020-10-07 12:40:58",1860,"6.04; 5.82; 5.59; 5.42; 5.2; 4.98; (-1)4.79; (-1)4.51; ","[ (-1)  Curr( 4.51) PrevDpt( 4.79) ]; "
"2020-10-07 12:42:22",1861,"4.5; 4.28; 4.06; 3.82; 3.63; (-1)3.44; (-1)3.06; ","[ (-1)  Curr( 3.06) PrevDpt( 3.44) ]; "
