"TOA5","OwascoWinchDirect","CR1000","57852","CR1000.Std.26","CPU:Owasco 44.cr1","23139","EventLog"
"TIMESTAMP","RECORD","EventMsg","EventDetails"
"TS","RN","",""
"","","Smp","Smp"
"2020-10-27 07:55:00",137884,"[10/27/2020 07:57:30.65]  ERROR: Wipe time limit reached (60.42 sec).  (Hourly Sonde Data setup Mode)","Sonde not responding correctly to wipe command."
"2020-10-27 08:55:00",137885,"[10/27/2020 08:57:30.65]  ERROR: Wipe time limit reached (60.42 sec).  (Hourly Sonde Data setup Mode)","Sonde not responding correctly to wipe command."
"2020-10-27 09:55:00",137886,"[10/27/2020 09:57:30.65]  ERROR: Wipe time limit reached (60.42 sec).  (Hourly Sonde Data setup Mode)","Sonde not responding correctly to wipe command."
"2020-10-27 10:55:00",137887,"[10/27/2020 10:57:30.65]  ERROR: Wipe time limit reached (60.42 sec).  (Hourly Sonde Data setup Mode)","Sonde not responding correctly to wipe command."
"2020-10-27 11:55:00",137888,"[10/27/2020 11:57:30.65]  ERROR: Wipe time limit reached (60.42 sec).  (Hourly Sonde Data setup Mode)","Sonde not responding correctly to wipe command."
"2020-10-27 12:55:00",137889,"[10/27/2020 12:57:30.65]  ERROR: Wipe time limit reached (60.42 sec).  (Hourly Sonde Data setup Mode)","Sonde not responding correctly to wipe command."
"2020-10-27 13:55:00",137890,"[10/27/2020 13:57:30.65]  ERROR: Wipe time limit reached (60.42 sec).  (Hourly Sonde Data setup Mode)","Sonde not responding correctly to wipe command."
"2020-10-27 14:55:00",137891,"[10/27/2020 14:57:30.65]  ERROR: Wipe time limit reached (60.42 sec).  (Hourly Sonde Data setup Mode)","Sonde not responding correctly to wipe command."
"2020-10-27 15:55:00",137892,"[10/27/2020 15:57:30.66]  ERROR: Wipe time limit reached (60.42 sec).  (Hourly Sonde Data setup Mode)","Sonde not responding correctly to wipe command."
"2020-10-27 16:55:00",137893,"[10/27/2020 16:57:30.65]  ERROR: Wipe time limit reached (60.42 sec).  (Hourly Sonde Data setup Mode)","Sonde not responding correctly to wipe command."
"2020-10-27 17:55:00",137894,"[10/27/2020 17:57:30.65]  ERROR: Wipe time limit reached (60.42 sec).  (Hourly Sonde Data setup Mode)","Sonde not responding correctly to wipe command."
"2020-10-27 18:55:00",137895,"[10/27/2020 18:57:30.65]  ERROR: Wipe time limit reached (60.42 sec).  (Hourly Sonde Data setup Mode)","Sonde not responding correctly to wipe command."
"2020-10-27 19:55:00",137896,"[10/27/2020 19:57:30.65]  ERROR: Wipe time limit reached (60.42 sec).  (Hourly Sonde Data setup Mode)","Sonde not responding correctly to wipe command."
