"TOA5","OwascoWinchDirect","CR1000","57852","CR1000.Std.26","CPU:Owasco 44.cr1","23139","SondeHourly"
"TIMESTAMP","RECORD","sensorParms(1)","sensorParms(2)","sensorParms(3)","sensorParms(4)","sensorParms(5)","sensorParms(6)","sensorParms(7)","sensorParms(8)","sensorParms(9)","sensorParms(10)"
"TS","RN","","","","","","","","","",""
"","","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp"
"2020-10-21 07:55:00",8265,6.48,43.86,338.92,-2.71,-0.13,63.26,7.77,0.36,6.05,9.75
"2020-10-21 08:55:00",8266,6.51,43.87,338.77,-2.87,-0.1,63.45,7.79,0.33,6.05,9.7
"2020-10-21 09:55:00",8267,6.56,43.86,338.63,-2.99,-0.13,63.65,7.8,0.29,6.05,10.54
"2020-10-21 10:55:00",8268,6.59,43.86,338.47,-2.92,-0.19,63.73,7.81,0.32,6.05,10.29
"2020-10-21 11:55:00",8269,6.6,43.85,338.53,-2.9,-0.12,63.75,7.81,0.3,6.05,10.47
"2020-10-21 12:55:00",8270,6.58,43.92,338.5,-2.92,-0.16,64.15,7.86,0.29,6.05,10.5
"2020-10-21 13:55:00",8271,6.54,43.91,338.64,-2.88,-0.14,63.73,7.82,0.35,6.05,10.29
"2020-10-21 14:55:00",8272,6.5,43.9,338.87,-2.86,-0.11,63.41,7.79,0.34,6.05,10.32
"2020-10-21 15:55:00",8273,6.47,43.91,339.05,-2.63,-0.13,63.12,7.76,0.31,6.05,10.13
"2020-10-21 16:55:00",8274,6.47,43.92,339.05,-2.73,-0.1,63.05,7.75,0.32,6.05,10.06
"2020-10-21 17:55:00",8275,6.45,43.93,339.21,-2.58,-0.17,62.58,7.7,0.29,6.05,10.05
"2020-10-21 18:55:00",8276,6.43,43.95,339.36,-2.43,-0.18,62.46,7.68,0.33,6.05,10.03
"2020-10-21 19:55:00",8277,6.43,43.96,339.4,-2.45,-0.14,62.24,7.66,0.35,6.05,9.93
"2020-10-21 20:55:00",8278,6.42,43.96,339.45,-2.19,-0.14,62.07,7.64,0.34,6.05,9.92
"2020-10-21 21:55:00",8279,6.41,43.97,339.54,-2.14,-0.16,61.84,7.61,0.34,6.05,9.81
"2020-10-21 22:55:00",8280,6.41,43.97,339.54,-2.19,-0.14,61.9,7.62,0.33,6.05,9.72
"2020-10-21 23:55:00",8281,6.42,43.97,339.46,-2.12,-0.16,62.02,7.63,0.32,6.05,9.82
"2020-10-22 00:55:00",8282,6.44,43.92,339.42,-2.19,-0.13,62.62,7.7,0.33,6.05,9.78
"2020-10-22 01:55:00",8283,6.45,43.94,339.37,-2.21,-0.18,62.26,7.65,0.34,6.05,9.79
"2020-10-22 02:55:00",8284,6.46,43.94,339.29,-2.36,-0.16,62.43,7.67,0.35,6.05,9.81
"2020-10-22 03:55:00",8285,6.47,43.94,339.17,-2.39,-0.17,62.41,7.67,0.34,6.05,9.81
"2020-10-22 04:55:00",8286,6.51,43.94,338.95,-2.6,-0.19,62.53,7.68,0.32,6.05,9.76
"2020-10-22 05:55:00",8287,6.55,43.94,338.84,-2.6,-0.16,63.02,7.73,0.31,6.05,9.79
"2020-10-22 06:55:00",8288,6.55,43.94,338.73,-2.73,-0.16,63.27,7.76,0.31,6.05,9.73
"2020-10-22 07:55:00",8289,6.53,43.93,338.85,-2.38,-0.13,63.04,7.73,0.31,6.05,9.75
