"TOA5","OwascoWinchDirect","CR1000","57852","CR1000.Std.26","CPU:Owasco 44.cr1","23139","SystemInternals"
"TIMESTAMP","RECORD","P_RH_Avg","P_Temp_Avg","P_Batt_Min","P_Batt_Max"
"TS","RN","","","",""
"","","Avg","Avg","Min","Max"
"2020-11-10 19:00:00",9079,52.16,25.34,11.83,11.87
"2020-11-10 20:00:00",9080,52.49,24.03,11.83,11.87
"2020-11-10 21:00:00",9081,52.77,22.54,11.84,11.87
"2020-11-10 22:00:00",9082,52.81,21.23,11.83,11.87
"2020-11-10 23:00:00",9083,52.84,20.08,11.82,11.86
"2020-11-11 00:00:00",9084,52.85,19.07,11.82,11.88
"2020-11-11 01:00:00",9085,52.86,18.18,11.82,11.86
"2020-11-11 02:00:00",9086,52.85,17.48,11.82,11.85
"2020-11-11 03:00:00",9087,52.85,17.07,11.81,11.84
"2020-11-11 04:00:00",9088,52.8,16.81,11.81,11.84
"2020-11-11 05:00:00",9089,52.64,16.71,11.81,11.84
"2020-11-11 06:00:00",9090,52.55,16.73,11.81,11.83
"2020-11-11 07:00:00",9091,52.44,16.94,11.8,11.83
"2020-11-11 08:00:00",9092,52.31,17.17,11.8,11.83
"2020-11-11 09:00:00",9093,52.3,17.24,11.79,11.83
"2020-11-11 10:00:00",9094,52.36,17.21,11.73,11.83
"2020-11-11 11:00:00",9095,52.37,17.19,11.79,11.83
"2020-11-11 12:00:00",9096,52.3,17.25,11.78,11.82
"2020-11-11 13:00:00",9097,52.3,17.38,11.78,11.82
"2020-11-11 14:00:00",9098,52.2,17.55,11.78,11.82
"2020-11-11 15:00:00",9099,52.13,17.83,11.77,11.82
"2020-11-11 16:00:00",9100,52.03,18.23,11.77,11.82
"2020-11-11 17:00:00",9101,51.9,18.72,11.78,11.82
"2020-11-11 18:00:00",9102,51.93,19.09,11.78,11.82
"2020-11-11 19:00:00",9103,52.11,19.08,11.78,11.82
"2020-11-11 20:00:00",9104,52.3,18.82,11.78,11.82
"2020-11-11 21:00:00",9105,52.37,18.45,11.77,11.81
"2020-11-11 22:00:00",9106,52.51,17.93,11.76,11.81
"2020-11-11 23:00:00",9107,52.64,17.29,11.77,11.81
"2020-11-12 00:00:00",9108,52.75,16.61,11.77,11.82
"2020-11-12 01:00:00",9109,52.85,15.74,11.76,11.8
"2020-11-12 02:00:00",9110,53,14.7,11.77,11.79
"2020-11-12 03:00:00",9111,53.14,13.7,11.76,11.79
"2020-11-12 04:00:00",9112,53.15,12.96,11.75,11.78
"2020-11-12 05:00:00",9113,53.24,12.29,11.75,11.78
"2020-11-12 06:00:00",9114,53.29,11.72,11.74,11.77
"2020-11-12 07:00:00",9115,53.29,11.34,11.74,11.77
"2020-11-12 08:00:00",9116,53.29,11.08,11.73,11.76
"2020-11-12 09:00:00",9117,53.17,10.88,11.73,11.76
"2020-11-12 10:00:00",9118,53.15,10.74,11.73,11.76
"2020-11-12 11:00:00",9119,53.15,10.7,11.73,11.76
"2020-11-12 12:00:00",9120,53.03,10.83,11.72,11.76
"2020-11-12 13:00:00",9121,52.9,11.09,11.72,11.75
"2020-11-12 14:00:00",9122,52.75,11.51,11.71,11.75
"2020-11-12 15:00:00",9123,52.38,12.27,11.71,11.75
"2020-11-12 16:00:00",9124,52.07,13.25,11.71,11.75
"2020-11-12 17:00:00",9125,52.13,13.82,11.72,11.75
"2020-11-12 18:00:00",9126,52.39,13.77,11.72,11.75
"2020-11-12 19:00:00",9127,52.7,13.17,11.71,11.75
"2020-11-12 20:00:00",9128,53,12.08,11.7,11.74
"2020-11-12 21:00:00",9129,53.32,10.73,11.7,11.74
"2020-11-12 22:00:00",9130,53.62,9.33,11.7,11.73
"2020-11-12 23:00:00",9131,53.91,8.03,11.69,11.73
"2020-11-13 00:00:00",9132,54.08,6.895,11.69,11.74
"2020-11-13 01:00:00",9133,54.27,5.898,11.68,11.71
"2020-11-13 02:00:00",9134,54.33,5.068,11.67,11.71
"2020-11-13 03:00:00",9135,54.49,4.338,11.67,11.7
"2020-11-13 04:00:00",9136,54.56,3.747,11.67,11.69
"2020-11-13 05:00:00",9137,54.6,3.238,11.66,11.69
"2020-11-13 06:00:00",9138,54.7,2.833,11.66,11.68
"2020-11-13 07:00:00",9139,54.66,2.777,11.65,11.68
"2020-11-13 08:00:00",9140,54.46,3.052,11.65,11.68
"2020-11-13 09:00:00",9141,54.26,3.425,11.63,11.68
"2020-11-13 10:00:00",9142,54.1,3.783,11.64,11.67
"2020-11-13 11:00:00",9143,53.82,4.382,11.64,11.67
"2020-11-13 12:00:00",9144,53.05,5.762,11.64,11.67
"2020-11-13 13:00:00",9145,52.61,7.408,11.64,11.68
"2020-11-13 14:00:00",9146,52.37,8.73,11.64,11.68
"2020-11-13 15:00:00",9147,51.94,10.22,11.58,11.68
"2020-11-13 16:00:00",9148,51.66,11.88,11.65,11.68
"2020-11-13 17:00:00",9149,51.76,12.92,11.66,11.69
"2020-11-13 18:00:00",9150,52.08,13.25,11.66,11.69
"2020-11-13 19:00:00",9151,52.4,13.08,11.66,11.69
"2020-11-13 20:00:00",9152,52.7,12.61,11.66,11.69
"2020-11-13 21:00:00",9153,52.9,12.03,11.66,11.69
"2020-11-13 22:00:00",9154,53.12,11.28,11.65,11.69
"2020-11-13 23:00:00",9155,53.29,10.64,11.65,11.68
"2020-11-14 00:00:00",9156,53.3,10.19,11.64,11.71
"2020-11-14 01:00:00",9157,53.42,9.85,11.66,11.68
"2020-11-14 02:00:00",9158,53.42,9.58,11.65,11.68
"2020-11-14 03:00:00",9159,53.43,9.33,11.64,11.68
"2020-11-14 04:00:00",9160,53.44,9.05,11.64,11.67
"2020-11-14 05:00:00",9161,53.55,8.75,11.64,11.67
"2020-11-14 06:00:00",9162,53.59,8.39,11.64,11.67
"2020-11-14 07:00:00",9163,53.71,7.969,11.63,11.67
"2020-11-14 08:00:00",9164,53.86,7.406,11.63,11.67
"2020-11-14 09:00:00",9165,53.97,6.924,11.63,11.65
"2020-11-14 10:00:00",9166,53.89,6.796,11.62,11.65
"2020-11-14 11:00:00",9167,53.61,7.227,11.62,11.65
"2020-11-14 12:00:00",9168,52.67,8.77,11.6,11.65
"2020-11-14 13:00:00",9169,51.98,10.8,11.62,11.66
